,UK,EN,TRANSLATION
661,"В цьому світі існують настільки голодні люди, що бог може з'явитися до них лише у вигляді хліба.","There are people in the world so hungry, that God cannot appear to them except in the form of bread.",There are so many hungry people in this world that God can only appear to them as bread.
662,"Я перечитував листи, які ти мені надіслав.",I was rereading the letters you sent to me.,I was rereading the letters you sent to me.
663,"Я перечитував листи, які ти мені надіслала.",I was rereading the letters you sent to me.,I was rereading the letters you sent me.
664,"Я перечитувала листи, які ти мені надіслав.",I was rereading the letters you sent to me.,I've been rereading the letters you sent to me.
665,"Я перечитувала листи, які ти мені надіслала.",I was rereading the letters you sent to me.,I've been rereading the letters you sent me.
666,Я не хочу йти до школи.,I don't want to go to school.,I don't want to go to school.
667,Не хочу в школу.,I don't want to go to school.,I don't want to go to school.
668,Я не хочу ходити до школи.,I don't want to go to school.,I don't want to go to school.
669,Між нами все скінчено. Віддай мені перстень!,It's over between us. Give me back my ring!,It's over between us. Give me the ring!
670,Йде дощ.,It is raining.,It's raining.
671,Падає дощ.,It is raining.,It's raining.
672,Дощить.,It is raining.,It's raining.
673,"Я планував піти сьогодні на пляж, але потім почало дощити.","I was planning on going to the beach today, but then it started to rain.","I planned to go to the beach today, but then it started to rain."
674,"Вона дуже розумна, чи не так?","She's really smart, isn't she?","She's very smart, isn't she?"
675,"Вона насправді розумна, правда?","She's really smart, isn't she?","She's really smart, isn't she?"
676,Справедливість дорого коштує.,Justice is expensive.,Justice is expensive.
677,Справедливість коштує дорого.,Justice is expensive.,Justice is expensive.
678,Правосуддя коштує дорого.,Justice is expensive.,Justice is expensive.
679,"Життя — смертельна хвороба, що передається статевим шляхом.",Life is a fatal sexually transmitted disease.,Life is a deadly sexually transmitted disease.
680,Я завтра вчитимуся в бібліотеці.,"Tomorrow, I'm going to study at the library.",I'm going to study at the library tomorrow.
681,Я завтра займатимуся в бібліотеці.,"Tomorrow, I'm going to study at the library.",I'm going to study at the library tomorrow.
682,Запізно.,Too late.,Too late.
683,Вчора я ходив до зоопарку.,I went to the zoo yesterday.,I went to the zoo yesterday.
684,Вчора я ходила до зоопарку.,I went to the zoo yesterday.,I went to the zoo yesterday.
685,Ми виграли битву.,We won the battle.,We won the battle.
686,Гей! Ти ще тут?,Hello? Are you still here?,"Hey, are you still here?"
687,Алло? Ти ще там?,Hello? Are you still here?,Are you still there?
688,Я готую обід щодня.,I make lunch every day.,I cook lunch every day.
689,Я готую ланч щодня.,I make lunch every day.,I make lunch every day.
690,Сьогодні вранці я дивився телевізор.,I watched TV this morning.,I watched TV this morning.
691,Сьогодні вранці я дивилася телевізор.,I watched TV this morning.,I watched TV this morning.
692,Я читав книжку під час їжі.,I read a book while eating.,I read a book while eating.
693,"Я читав книжку, поки їв.",I read a book while eating.,I read a book while eating.
694,Я читала книжку під час їжі.,I read a book while eating.,I read a book while eating.
695,"Я читала книжку, поки їла.",I read a book while eating.,I read a book while eating.
696,Я почав вивчати китайську минулого тижня.,I started learning Chinese last week.,I started learning Chinese last week.
697,Я почала вивчати китайську минулого тижня.,I started learning Chinese last week.,I started learning Chinese last week.
698,Минулого тижня я почав вивчати китайську.,I started learning Chinese last week.,I started learning Chinese last week.
699,Минулого тижня я почала вивчати китайську.,I started learning Chinese last week.,I started learning Chinese last week.
700,Твої окуляри впали.,Your glasses fell on the floor.,Your glasses fell.
701,В тебе окуляри впали на землю.,Your glasses fell on the floor.,Your glasses fell on the ground.
702,Твої окуляри впали на підлогу.,Your glasses fell on the floor.,Your glasses fell on the floor.
703,Ваші окуляри впали на підлогу.,Your glasses fell on the floor.,Your glasses fell on the floor.
704,Скільки разів на день ти дивишся на себе у дзеркало?,How many times a day do you look at yourself in the mirror?,How many times a day do you look at yourself in the mirror?
705,Скільки разів на день ти дивишся на себе у люстерко?,How many times a day do you look at yourself in the mirror?,How many times a day do you look at yourself in the mirror?
706,Скільки разів на день ви дивитеся на себе у дзеркало?,How many times a day do you look at yourself in the mirror?,How many times a day do you look at yourself in the mirror?
707,Скільки разів на день ви дивитеся на себе у люстерко?,How many times a day do you look at yourself in the mirror?,How many times a day do you look at yourself in the mirror?
708,Ми поїхали до Лондона минулого року.,We went to London last year.,We went to London last year.
709,Вона не хоче про це говорити.,She doesn't want to talk about it.,She doesn't want to talk about it.
710,Я втратив натхнення.,I lost my inspiration.,I lost my inspiration.
711,Я втратила натхнення.,I lost my inspiration.,I lost my inspiration.
712,Це не має ніякого значення!,It doesn't mean anything!,It doesn't matter!
713,"Зачини двері, коли будеш іти.",Close the door when you leave.,Close the door when you leave.
714,"Зачиніть двері, коли будете йти.",Close the door when you leave.,Close the door when you leave.
715,"Якщо немає рішення, то нема й проблеми.","If there's no solution, then there's no problem.","If there's no solution, there's no problem."
716,Мій молодший брат дивиться телевізор.,My little brother is watching TV.,My younger brother is watching TV.
717,"Так, це трапляється час від часу.","Yes, it happens from time to time.","Yeah, it happens from time to time."
718,Добре мати ідеали... ви так не думаєте?,It is good to have ideals... don't you think?,It's good to have ideals... don't you think?
719,"Мати ідеали - це добре, .. як гадаєш?",It is good to have ideals... don't you think?,"It's good to have ideals, don't you think?"
720,Люди в усьому світі завжди борються за більшу свободу та рівність.,People in the world are always advocating for more freedom and equality.,People all over the world are always fighting for greater freedom and equality.
721,"Якщо ви не прислухаєтеся до нас, ми будемо вимушені застосувати силу.","If you don't listen to us, we will have to resort to coercion.","If you don't listen to us, we're going to have to apply force."
722,Голод для нього був абстрактним поняттям; в нього завжди було достатньо їжі.,"To him, hunger was an abstract concept; he always had enough to eat.",His hunger was abstract; he always had enough to eat.
723,"Це залежить від того, що ви називаєте ""вірою"" у бога.","It depends what you mean by ""believe"" in God.",It depends on what you call faith in God.
724,"Батьки відмовилися б від мого брата, якби дізналися, що він ґей.",My parents would repudiate my brother if they ever found out he was gay.,My parents would have rejected my brother if they had found out he was gay.
725,Тим - великий прихильник сатиричної комедії.,Tim is a huge fan of satirical comedy.,Tim is a big fan of satirical comedy.
726,Я дуже люблю свою роботу.,I like my job very much.,I love my job very much.
727,Маленький вогонь в лісі може легко поширитися і швидко стати величезною пожежею.,A small forest fire can easily spread and quickly become a great conflagration.,A small fire in a forest can easily spread and quickly become a huge fire.
728,Ти мені снилася.,I dreamt about you.,I dreamed of you.
729,Я не програю!,I won't lose!,I won't lose!
730,Я запізнився до школи.,I was late to school.,I was late for school.
731,Заняття скоро розпочнуться знову.,Classes are starting again soon.,Classes will start again soon.
732,Але ж ти ніколи мені про це не розповідала!,But you've never told me about this!,But you never told me about it!
733,Але ти мені ніколи про це не казав!,But you've never told me about this!,But you never told me about it!
734,Я змінив розмітку свого сайту.,I've changed my website's layout.,I've changed my site's layout.
735,Я змінила розмітку свого сайту.,I've changed my website's layout.,I changed my website's layout.
736,В тебе було повно часу.,You had plenty of time.,You had plenty of time.
737,В тебе було багато часу.,You had plenty of time.,You had plenty of time.
738,Припини мене критикувати!,Stop criticizing me!,Stop criticizing me!
739,Перестань мене критикувати!,Stop criticizing me!,Stop criticizing me!
740,Перестаньте мене критикувати!,Stop criticizing me!,Stop criticizing me!
741,"Ну ж бо, поговори зі мною, Транґу.","Come on! Talk to me, Trang.","Come on, talk to me, Trang."
742,Я майже закінчив.,I'm almost done.,I'm almost done.
743,Я майже закінчила.,I'm almost done.,I'm almost done.
744,Я майже скінчив.,I'm almost done.,I'm almost done.
745,Я майже скінчила.,I'm almost done.,I'm almost done.
746,Візьми інший стілець!,Take the other chair!,Take another chair!
747,Скільки залишилося бутербродів?,How many sandwiches are there left?,How many sandwiches are left?
748,Скільки канапок лишилось?,How many sandwiches are there left?,How many sandwiches are left?
749,Я не буду опускатися до його рівня.,I won't lower myself to his level.,I won't go down to his level.
750,З вікна нам було видно захід сонця.,We could see the sunset from the window.,We could see the sunset from the window.
751,Це зводить мене з глузду.,It's driving me crazy.,It's driving me crazy.
752,"Ти сказав, що я ніколи не зможу виграти?",Did you say that I could never win?,Did you say I could never win?
753,"Ти сказала, що я ніколи не зможу перемогти?",Did you say that I could never win?,Did you say I could never win?
754,"Ти сказав, що мені ніколи не виграти?",Did you say that I could never win?,Did you say I'd never win?
755,"Ти сказала, що мені ніколи не перемогти?",Did you say that I could never win?,Did you say I'd never win?
756,На вулиці темно як у льоху.,It's all dark outside.,It's as dark as a lion outside.
757,Що сталося? Вода по всій хаті!,What happened? There's water all over the apartment.,What happened? The water's all over the house!
758,"Ви будете говорити і робити те, що ваші батьки говорили і робили, навіть якщо ви присягнетеся, що ніколи не зробили би це.","You will say and do things your parents said and did, even if you swore you would never do them.","You will say and do what your parents said and did, even if you swear you would never do it."
759,Я застарий для цього світу.,I am too old for this world.,I'm too old for this world.
760,"Життя починається тоді, коли ви готові його жити.",Life begins when you're ready to live it.,Life begins when you're ready to live it.
761,Вчитися ніколи не пізно.,It is never too late to learn.,It's never too late to learn.
762,"Зараз лише п'ята година ранку, але вже світло.","It's just five in the morning, but nevertheless it is light out.","It's only five o'clock in the morning, but it's already light."
763,Він розповів мені історію свого життя.,He told me the story of his life.,He told me the story of his life.
764,"Навіть не знаю, чи створений я для цього світу.",I wonder if I am made for this world.,I don't know if I'm made for this world.
765,Про що ви говорите!?,What are you talking about?,What are you talking about?
766,Я хочу цукерку.,I want a piece of candy.,I want some candy.
767,Хочу цукерку.,I want a piece of candy.,I want some candy.
768,"Я знав, що сьогодні буде весело.",I knew that today would be fun.,I knew today would be fun.
769,"Я знала, що сьогодні буде весело.",I knew that today would be fun.,I knew today would be fun.
770,"Це може здатися притягнутим за волосся, але це реальна проблема.","It might sound far-fetched, but this is a real problem.","It might seem like hair drawn, but it's a real problem."
771,Коли ми їмо? Я зголоднів!,When are we eating? I'm hungry!,When are we eating? I'm hungry!
772,Коли ми будемо їсти? Я голодний!,When are we eating? I'm hungry!,When are we going to eat? I'm hungry!
773,У мене завтра заняття.,I have class tomorrow.,I have classes tomorrow.
774,Не можу в це повірити!,I can't believe it!,I can't believe it!
775,"«Дякую», — «Нема за що».","""Thank you."" ""You're welcome.""","Thank you, um, for what."
776,"«Дякую», — «На здоров'я».","""Thank you."" ""You're welcome.""","Thank you very much for the article ""The Bible's Viewpoint: How Can You Find It?, "" published by the Watchtower Bible and Tract Society of New York, Inc."
777,"""Дякую."" ""Будь ласка.""","""Thank you."" ""You're welcome.""","""Thank you."" ""Please."""
778,"""Дякую."" ""Прошу.""","""Thank you."" ""You're welcome.""","""Thank you."" ""You're welcome."""
779,"""Дякую."" ""Дуже прошу.""","""Thank you."" ""You're welcome.""","""Thank you."" ""You're welcome."""
780,"""Спасибi."" ""Прошу.""","""Thank you."" ""You're welcome.""","""Thank you."" ""Please."""
781,"""Дякую"". — ""Прошу"".","""Thank you."" ""You're welcome.""",Thank you.
782,"""Спасибі"". — ""Нема за що"".","""Thank you."" ""You're welcome.""","""Thank you""."
783,"""Дякую"". — ""Нема за що"".","""Thank you."" ""You're welcome.""","""Thank you."" (Laughter)"
784,"Як вимовляється ""pronounce""?","How do you pronounce ""pronounce""?","How do you pronounce ""pronounce""?"
785,Зима — моя улюблена пора року.,Winter is my favorite season.,Winter is my favorite season.
786,"Факти вказують, що оптимальною тривалістю лекції є 30, а не 60 хвилин.",The data suggest that the optimum length of a lecture may be 30 instead of 60 minutes.,The facts indicate that the optimal duration of the lecture is 30 minutes rather than 60 minutes.
787,Я багато чому навчився від тебе.,I learned a lot from you.,I learned a lot from you.
788,Я багато чому від тебе навчився.,I learned a lot from you.,I learned a lot from you.
789,Я багато чому від вас навчився.,I learned a lot from you.,I learned a lot from you.
790,Я від тебе багато чому навчився.,I learned a lot from you.,I learned a lot from you.
791,Я від вас багато чому навчився.,I learned a lot from you.,I learned a lot from you.
792,Ми багато гуляли.,We walked a lot.,We walked a lot.
793,Я провів у потязі дванадцять годин.,I spent twelve hours on the train.,I spent twelve hours on the train.
794,Я дванадцять годин провів у потязі.,I spent twelve hours on the train.,I spent twelve hours on the train.
795,Я дванадцять годин провела у потязі.,I spent twelve hours on the train.,I spent twelve hours on the train.
796,Я провела у потязі дванадцять годин.,I spent twelve hours on the train.,I spent twelve hours on the train.
797,Вона захворіла у ці вихідні.,She got sick this weekend.,She got sick this weekend.
798,"Зачекай, хтось стукає до мене у двері.","Hold on, someone is knocking at my door.","Wait, somebody's knocking on my door."
799,Він багатий. Йому не потрібні гроші!,He's rich. He doesn't need money!,He's rich. He doesn't need money!
800,Він спить як немовля.,He's sleeping like a baby.,He sleeps like a baby.
801,Він спить як дитина.,He's sleeping like a baby.,He sleeps like a baby.
802,"Він спить, як немовля.",He's sleeping like a baby.,He sleeps like a baby.
803,Він спить як дитя.,He's sleeping like a baby.,He's sleeping like a baby.
804,"Вони надто шумлять, я не можу сконцентруватися.",They're making too much noise. I can't concentrate.,"It's too noisy, I can't concentrate."
805,Хочу масаж. Мені треба розслабитися.,I want a massage. I need to relax.,I want a massage. I need to relax.
806,Ти хворий. Тобі потрібно відпочити.,You're sick. You have to rest.,You're sick. You need to rest.
807,Ти хвора. Тобі потрібно відпочити.,You're sick. You have to rest.,You're sick. You need to rest.
808,Ви хвора. Вам потрібно відпочити.,You're sick. You have to rest.,You're sick. You need to rest.
809,Ви хворі. Вам потрібно відпочити.,You're sick. You have to rest.,You're sick. You need to rest.
810,Ви хворий. Вам потрібно відпочити.,You're sick. You have to rest.,You're sick. You need to rest.
811,Вона вимагає неможливого.,She's asking for the impossible.,She demands the impossible.
812,Вона просить про неможливе.,She's asking for the impossible.,She's asking for the impossible.
813,Він зник без сліду.,He disappeared without a trace.,He disappeared without a trace.
814,Він зник безслідно.,He disappeared without a trace.,He disappeared without a trace.
815,Він безслідно зник.,He disappeared without a trace.,He disappeared without a trace.
816,"Я можу покласти долоні на підлогу, не згинаючи коліна.",I can place the palms of my hands on the floor without bending my knees.,I can place my hands on the floor without bending my knees.
817,Не може бути прогресу без спілкування.,There cannot be progress without communication.,There can be no progress without communication.
818,"Кожен хотів би вірити, що мрії можуть збутися.",Everyone would like to believe that dreams can come true.,Everyone would like to believe that dreams can come true.
819,Кращий спосіб реалізувати свої мрії - це прокинутися.,The best way to make your dreams come true is to wake up.,A better way to fulfill your dreams is to wake up.
820,Світ не крутиться довкола тебе.,The world doesn't revolve around you.,The world doesn't revolve around you.
821,Світ повний дурнів.,The world is full of fools.,The world is full of fools.
822,У світі повно дурнів.,The world is full of fools.,The world is full of fools.
823,"Ви хочете сказати, що моє життя у небезпеці?",Are you saying my life is in danger?,Are you saying my life is in danger?
824,"У тебе є ідея щодо того, на що схоже моє життя?",Do you have any idea what my life is like?,Do you have any idea what my life looks like?
825,"Ти хоч уявляєш собі, на що схоже моє життя?",Do you have any idea what my life is like?,Do you have any idea what my life is like?
826,"Ви хоч уявляєте собі, на що схоже моє життя?",Do you have any idea what my life is like?,Do you have any idea what my life is like?
827,В цьому місці панує таємнича атмосфера.,This place has a mysterious atmosphere.,There's a mysterious atmosphere in this place.
828,Це місце має таємничу атмосферу.,This place has a mysterious atmosphere.,This place has a mysterious atmosphere.
829,Я з нетерпінням очікую почути ваші думки щодо цієї теми.,I look forward to hearing your thoughts on this matter.,I look forward to hearing your thoughts on the subject.
830,"Ну й що, що я ґей? Це що, злочин?",So what if I am gay? Is it a crime?,So what if I'm gay?
831,"Ну то й що, що я голубий? Це що, злочин?",So what if I am gay? Is it a crime?,So what if I'm gay?
832,Я не хочу потерпіти невдачу на іспитах.,I don't want to fail my exams.,I don't want to fail my exams.
833,Я не хочу провалити екзамени.,I don't want to fail my exams.,I don't want to fail the exams.
834,Моя мати купила дві пляшки апельсинового соку.,My mother bought two bottles of orange juice.,My mother bought two bottles of orange juice.
835,Вона була в чорному капелюсі.,She was wearing a black hat.,She was wearing a black hat.
836,На ній був чорний капелюх.,She was wearing a black hat.,She wore a black hat.
837,Ми зробили млинці на сніданок.,We made pancakes for breakfast.,We made pancakes for breakfast.
838,На сніданок ми зробили млинці.,We made pancakes for breakfast.,We made pancakes for breakfast.
839,"Я провів увесь день, спілкуючись із друзями.",I spent the whole afternoon chatting with friends.,I spent all day with my friends.
840,"Я провела весь день, спілкуючись із друзями.",I spent the whole afternoon chatting with friends.,I spent the whole day talking to my friends.
841,Я хочу бути більш незалежним.,I want to be more independent.,I want to be more independent.
842,Я хочу бути більш незалежною.,I want to be more independent.,I want to be more independent.
843,"Ти що, так весь день там і стоятимеш?",Are you just going to stand there all day?,Are you going to stand there all day?
844,"Ви що, так весь день там і стоятимете?",Are you just going to stand there all day?,Are you going to stand there all day?
845,У кроликів довгі вуха та коротий хвіст.,A rabbit has long ears and a short tail.,Rabbits have long ears and short tail.
846,Твій секрет буде зі мною у безпеці.,Your secret will be safe with me.,Your secret will be safe with me.
847,Я нікому не розкрию твого секрету.,Your secret will be safe with me.,I won't let anyone know your secret.
848,Ваш секрет буде зі мною у безпеці.,Your secret will be safe with me.,Your secret will be safe with me.
849,Я нікому не розкрию вашого секрету.,Your secret will be safe with me.,I won't reveal your secret to anyone.
850,Я не хочу більше чути жодних скарг.,I don't want to hear any more of your complaining.,I don't want to hear any more complaints.
851,Математика - це не лише запам'ятовування формул.,Mathematics is not just the memorization of formulas.,Math isn't just about remembering formulas.
852,Я не хотів справити на тебе таке враження.,I didn't mean to give you that impression.,I didn't mean to impress you that way.
853,Я не хотів справити на вас таке враження.,I didn't mean to give you that impression.,I didn't mean to impress you that way.
854,Я втомився від фаст-фуду.,I'm tired of eating fast food.,I'm tired of fast food.
855,Я втомилася від фаст-фуду.,I'm tired of eating fast food.,I'm tired of fast food.
856,Я втомилася їсти фаст-фуд.,I'm tired of eating fast food.,I'm tired of eating fast food.
857,Я втомився їсти фаст-фуд.,I'm tired of eating fast food.,I'm tired of eating fast food.
858,Суть математики - свобода.,The essence of mathematics is liberty.,The essence of mathematics is freedom.
859,Де туалет?,Where is the bathroom?,Where's the toilet?
860,Де прибиральня?,Where is the bathroom?,Where's the bathroom?
861,Де знаходиться туалет?,Where is the bathroom?,Where's the toilet?
862,Сутність свободи — у математиці.,The essence of liberty is mathematics.,The essence of freedom is in mathematics.
863,"Те, що він розповів, було занадто смішним, щоб йому хтось повірив.",His story was too ridiculous for anyone to believe.,What he said was too funny for someone to believe.
864,Скільки годин сну тобі потрібно?,How many hours of sleep do you need?,How many hours of sleep do you need?
865,Скільки годин сну вам потрібно?,How many hours of sleep do you need?,How many hours of sleep do you need?
866,Скільки тобі потрібно годин сну?,How many hours of sleep do you need?,How many hours of sleep do you need?
867,Скільки вам потрібно годин сну?,How many hours of sleep do you need?,How many hours of sleep do you need?
868,Кожна людина - це окремий світ.,Each person is a world.,Each person is a separate world.
869,"Як ти думаєш, люди колись колонізують Місяць?",Do you think mankind will someday colonize the Moon?,Do you think people will ever colonize the Moon?
870,Життя у в'язниці є гіршим за життя тварини.,Life in prison is worse than the life of an animal.,Life in prison is worse than that of an animal.
871,"Я пишаюся тим, що я - частина цього проекту.",I am proud to be a part of this project.,I'm proud to be part of this project.
872,Чому ми не можемо самі себе полоскотати?,Why can't we tickle ourselves?,Why can't we tickle ourselves?
873,У тебе вже є борода?,Have you got a beard already?,Do you already have a beard?
874,"Я відчуваю, що я вільний.",I feel that I am free.,I feel free.
875,Я хочу MP3-плеєр!,I want an MP3 player!,I want an MP3 player!
876,"Їдячи піцу, він набридав своїй сестрі.",While eating a pizza he was annoying his sister.,"While eating pizza, he was annoying his sister."
877,Що?! Ти з'їв мого шоколадного ведмедя?!,What?! You ate my chocolate bear?!,What?! You ate my chocolate bear?!
878,Що?! Ти з'їв мого шоколадного ведмедика?!,What?! You ate my chocolate bear?!,What?! You ate my chocolate bear?!
879,Що?! Ти з'їла мого шоколадного ведмедика?!,What?! You ate my chocolate bear?!,What?! You ate my chocolate bear?!
880,Де ти?,Where are you?,Where are you?
881,Де ви?,Where are you?,Where are you?
882,Ти де?,Where are you?,Where are you?
883,Ви де?,Where are you?,Where are you?
884,Він нещодавно опублікував низку цікавих статей.,He has just published an interesting series of articles.,He recently published a number of interesting articles.
885,Ти мене бісиш!,You piss me off!,You're pissing me off!
886,Неможливо!,No way!,Impossible!
887,Це неможливо!,No way!,That's impossible!
888,Ні в якому разі!,No way!,By no means!
889,В жодному разі!,No way!,No way!
890,Ніколи!,No way!,Never!
891,Дзуськи!,No way!,No way!
892,Цього не може бути!,No way!,It can't be!
893,Не може бути!,No way!,No way!
894,Це глухий кут.,It's a dead end.,It's a dead end.
895,Я не завжди довіряю перекладам.,I don't necessarily trust translations.,I don't always trust translations.
896,"Позавчора ти вразив усіх, але я вже знав тебе.","The day before yesterday you impressed everyone, but I already knew you.","You impressed everybody the other day, but I already knew you."
897,"Життя не довге, воно широке!","Life is not long, it is wide!","Life isn't long, it's wide!"
898,"Коли я був у твоєму віці, Плутон був планетою.","When I was your age, Pluto was a planet.","When I was your age, Pluto was a planet."
899,Вона на межі нервового зриву.,She is on the verge of a nervous breakdown.,She's at the edge of a nervous breakdown.
900,"Слони - найбільші наземні тварини, що існують у наші дні.",Elephants are the largest land animals alive today.,Elephants are the largest land animals that exist today.
901,Фрукти та овочі важливі для збалансованого харчування.,Fruits and vegetables are essential to a balanced diet.,Fruits and vegetables are essential for a balanced diet.
902,"Сир - це тверда їжа, яку роблять із коров'ячого, козячого, овечого молока й молока інших ссавців.","Cheese is a solid food made from the milk of cows, goats, sheep, and other mammals.","Cheese is a solid food made from cow, goat, sheep's milk, and other mammals' milk."
903,"Мені, як і раніше, не подобаються ці Кавал’єрі, Тонеллі та Фубіні... і взавтра у мене знов усний іспит з матаналізу.","I still don't like Cavalieri, Tonelli, or Fubini... and my oral calculus exam is already tomorrow.","I still don't like these Kavala_yri, Tonelly and Fubini... and tomorrow I have my oral mat analysis exam."
904,Я зазвичай приймаю душ ввечері.,I usually take a shower in the evening.,I usually take a shower in the evening.
905,"Він провів вечір, читаючи книжку.",He spent the evening reading a book.,He spent the evening reading a book.
906,"Ти думаєш про це питання увесь ранок. Зроби перерву, поїж.",You have been thinking about this problem the whole morning. Take a break; go eat lunch.,"You think about it all morning. Take a break, eat."
907,"Якщо я не зроблю цього зараз, то не зроблю ніколи.","If I don't do it now, I never will.","If I don't do it now, I'll never do it."
908,Добраніч! Приємних снів!,Good night. Sweet dreams.,Good night!
909,Усі заслуговують на другий шанс.,Everyone deserves a second chance.,Everyone deserves a second chance.
910,У чому перевага цієї технологіі?,What is the advantage of this technology?,What is the advantage of this technology?
911,"Якщо в вас немає цієї програми, то її можна зараз стягнути.","If you do not have this program, you can download it now.","If you don't have this program, you can download it now."
912,"Якщо у вас немає цієї програми, ви можете завантажити її зараз.","If you do not have this program, you can download it now.","If you do not have this program, you can download it now."
913,Ґонсалес дарує велосипед усім своїм робітникам у Європі.,Gonzales offers a bike to all his employees in Europe.,González offers a bicycle to all his employees in Europe.
914,"Є тисяча фільмів, які треба подивитися перед тим, як померти.",There are 1000 movies that one must watch before dying.,There are a thousand movies to watch before you die.
915,"Є тисяча фільмів, які треба подивитися перед смертю.",There are 1000 movies that one must watch before dying.,There are a thousand movies that you have to watch before you die.
916,В мене закінчуються ідеї.,I'm running out of ideas.,I'm running out of ideas.
917,Не забувай про нас.,Don't forget about us!,Don't forget about us.
918,Не забудь про нас.,Don't forget about us!,Don't forget about us.
919,Час минув дуже швидко.,Time has passed very fast.,Time passed very quickly.
920,"Відчини шафу зліва, там пляшки.","Open the cupboard to the left, the bottles are in there.","Open the closet on the left, there's bottles."
921,Маєш професійний досвід?,Do you have professional experience?,Do you have professional experience?
922,У вас є професійний досвід?,Do you have professional experience?,Do you have professional experience?
923,Скільки чайових зазвичай залишають у Іспанії?,How much do you leave for a tip in Spain?,How many tips are usually left in Spain?
924,Хто написав цю картину?,Who painted this painting?,Who painted this picture?
925,Хто намалював цю картину?,Who painted this painting?,Who painted this picture?
926,Він аргентинець і він дає уроки тенісу.,He's Argentinean and he gives tennis lessons.,He's Argentinean and he gives tennis lessons.
927,Кран тече.,The tap is running.,The tap's flowing.
928,Я на четвертому місяці вагітності.,I am four months pregnant.,I'm four months pregnant.
929,Чи можна платити кредитною карткою?,Can I pay by credit card?,Can I pay with a credit card?
930,Можна заплатити кредитною карткою?,Can I pay by credit card?,Can I pay with a credit card?
931,Я годую свого кота кожного ранку та кожного вечора.,I feed my cat every morning and every evening.,I feed my cat every morning and every night.
932,"Чи не могли б ви це повторити, будь ласка?",Could you please repeat that?,"Could you repeat that, please?"
933,Можете повторити?,Could you please repeat that?,Can you repeat that?
934,"Ви не могли би це повторити, будь ласка?",Could you please repeat that?,"Could you repeat that, please?"
935,"Це ж очевидно, що тобі дешевше обійдеться заночувати в нас.",It would of course be cheaper for you to sleep at our place.,It's obvious that it's cheaper for you to spend the night at our place.
936,Це коштує цілий стан.,It costs an arm and a leg.,It costs an arm and a leg.
937,Він коштує цілий стан.,It costs an arm and a leg.,It costs a fortune.
938,Вона коштує цілий стан.,It costs an arm and a leg.,It costs an arm and a leg.
939,Воно коштує цілий стан.,It costs an arm and a leg.,It costs an arm and a leg.
940,Мені потрібна твоя порада.,I need your advice.,I need your advice.
941,Мені потрібна ваша порада.,I need your advice.,I need your advice.
942,"Ти часом не знаєш, куди я поклав ключі?",Any chance you know where I put my keys?,Do you happen to know where I put my keys?
943,"Ви часом не знаєте, куди я поклав свої ключі?",Any chance you know where I put my keys?,Do you happen to know where I put my keys?
944,Готуюся до найгіршого.,I'm getting ready for the worst.,Preparing for the worst.
945,Я готуюся до найгіршого.,I'm getting ready for the worst.,I'm getting ready for the worst.
946,Піклуйся про себе.,Take good care of yourself.,Take care of yourself.
947,Бережи себе.,Take good care of yourself.,Take care.
948,Бережіть себе.,Take good care of yourself.,Take care.
949,Піклуйтеся про себе.,Take good care of yourself.,Take care of yourself.
950,Функції синус та косинус приймають значення від -1 до 1 включно.,The functions sine and cosine take values between -1 and 1 (-1 and 1 included).,The functions sine and cosine take values from -1 to 1 inclusive.
951,Функції синуса та косинуса можуть приймати значення від -1 до +1 включно.,The functions sine and cosine take values between -1 and 1 (-1 and 1 included).,The functions sine and cosine may range from -1 to +1 inclusive.
952,"Наукова теорія, яка мені подобається найбільше, полягає у тому, що кільця Сатурна повністю складаються із загубленого багажу.",The scientific theory I like the best is that the rings of Saturn are composed entirely of lost luggage.,The scientific theory that I like the most is that the rings of Saturn are entirely composed of lost luggage.
953,"Для людини, у якої є тільки молоток в ящику з інструментами, будь-яка проблема схожа на цвях.","To the man who only has a hammer in the toolkit, every problem looks like a nail.","For a man who only has a hammer in a box with tools, any problem is like a nail."
954,"Я не розумію, чому людей лякають нові ідеї. Мене лякають старі.",I can't understand why people are frightened of new ideas. I'm frightened of the old ones.,I don't understand why people get scared of new ideas. I'm scared of old people.
955,У тебе з собою є ручка?,Do you have a pen on you?,Do you have a pen on you?
956,У вас з собою є ручка?,Do you have a pen on you?,Do you have a pen on you?
957,Чиє це?,Whose is this?,Whose is this?
958,Це добрі умови.,It's a good deal.,These are good conditions.
959,Збирай свої речі та йди геть,Pick up your things and go away.,Pack your stuff and go away.
960,"Гарно сміється той, хто сміється останній.",He laughs best who laughs last.,He laughs nice when he laughs last.
961,"Добре сміється той, хто сміється останнім.",He laughs best who laughs last.,He who laughs last laughs laughs best.
962,"Чим швидше, тим краще.","The sooner, the better.","The faster, the better."
963,Він не виглядає на свій вік.,He doesn't look his age.,He doesn't look his age.
964,Ти любиш реп?,Do you like rap?,Do you like rap?
965,Ви любите реп?,Do you like rap?,Do you like rap?
966,Тобі подобається реп?,Do you like rap?,Do you like rap?
967,Вам подобається реп?,Do you like rap?,Do you like rap?
968,Я люблю поїздки.,I love trips.,I like trips.
969,Такого я від тебе дійсно не чекав.,I really wasn't expecting that from you.,I really didn't expect that from you.
970,Я такого від тебе дійсно не очікував.,I really wasn't expecting that from you.,I really didn't expect that from you.
