Unnamed: 0,de,uk,TRANSLATION,bertscore
488,Das Festival war alles andere als öde.,Фестиваль був далеко не нудним.,Das Festival war alles andere als langweilig.,0.9418427348136902
489,Das Fleisch ist roh.,М'ясо сире.,Das Fleisch ist rohes Fleisch.,0.9496012926101685
490,Das Fleisch ist zäh.,М'ясо жорстке.,Das Fleisch ist hart.,0.9500491619110107
491,Das Fleisch schmeckt schlecht.,М'ясо погано смакує.,Fleisch schmeckt nicht gut.,0.9427585005760193
492,Das Flugzeug flog über den Wolken.,Літак летів над хмарами.,Das Flugzeug flog über die Wolken.,0.992469310760498
493,Das Flugzeug ist abgestürzt.,Літак розбився.,Das Flugzeug ist kaputt.,0.928714394569397
494,Das Flugzeug wird in einer Stunde abheben.,Літак злетить за годину.,Das Flugzeug fliegt in einer Stunde ab.,0.934033989906311
495,Das frisch getraute Paar ging Hand in Hand.,"Молоді йшли, узявшись за руки.",Die jungen Leute gingen und hielten sich an die Hand.,0.8168315887451172
496,Das Frühstück ist bereitet.,Сніданок готовий.,Frühstück ist fertig.,0.9148785471916199
497,Das Frühstück war sehr gut.,Сніданок був дуже смачний.,Das Frühstück war köstlich.,0.9246554374694824
498,Das funktioniert nie.,Це ніколи не запрацює.,Das wird nie funktionieren.,0.9163224697113037
499,Das funktioniert nie.,Це ніколи не спрацює.,Das wird nie funktionieren.,0.9163224697113037
500,Das Gebäude hat ein russischer Architekt gebaut.,Будинок побудовано російським архитектором.,Das Gebäude wurde von einem russischen Architekten gebaut.,0.9423683881759644
501,Das Gebäude wurde von einem russischen Architekten erbaut.,Будинок побудовано російським архитектором.,Das Gebäude wurde von einem russischen Architekten gebaut.,0.9912996292114258
502,Das Gegenteil von unpraktisch ist praktisch.,Антонім до непрактичності - практичність.,Antonyme ist unpraktisch.,0.889229953289032
503,Das gehört ihm.,Це його.,Es gehört ihm.,0.9510611891746521
504,Das geht dich nichts an.,Це не твоя справа.,Das geht dich nichts an.,0.9999999403953552
505,Das geht vorbei.,Це піде у минуле.,Das wird der Vergangenheit angehören.,0.8502061367034912
506,Das gesamteuropäische Sabantuy 2014 findet am 7. Juni in Riga statt. Die jährliche Organisation dieses nationalen tatarischen Feiertags in den Kulturhauptstädten des Kontinents wird zu einer guten Tradition.,Європейський Сабантуй 2014 року проходить 7 червня в Ризі. Щорічна організація цих татарських національних свят у культурних столицях континенту стає доброю традицією.,"Juni 2014 in Riga stattfand, ist die jährliche Organisation dieser taaristischen Feste in den kulturellen Hauptstädten des Kontinents eine gute Tradition.",0.8930839896202087
507,Das Geschäft ist gerade gegenüber von meinem Haus.,Крамниця знаходиться просто навпроти мого будинку.,Der Laden ist direkt vor meinem Haus.,0.8786529898643494
508,Das Gesetz ist für alle gleich.,Закон один для всіх.,Das Gesetz ist e i n Gesetz für alle.,0.9161982536315918
509,Das Gesicht ist der Spiegel der Seele.,Обличчя - дзеркало душі.,Gesicht ist ein Spiegel der Seele.,0.9762928485870361
510,Das glaube ich nicht.,Я в це не вірю.,Das glaube ich nicht.,0.9999998807907104
511,Das glaube ich.,"Думаю, так.",Ich denke schon.,0.8355597853660583
512,"Das Glück liegt nicht darin, viele Dinge zu besitzen.","Щастя не в тому, щоб володіти багатьма речами.","Das Glück besteht nicht darin, viele Dinge zu besitzen.",0.9782567024230957
513,Das habe ich als Kind immer gemacht.,Я так робив у дитинстві.,Das habe ich schon als Kind getan.,0.9196107387542725
514,Das habe ich von dir gelernt.,Я навчилася цього у тебе.,Ich habe das bei dir gelernt.,0.9674121737480164
515,Das habe ich wirklich nicht von dir erwartet.,Я такого від тебе дійсно не очікувала.,Das habe ich von dir wirklich nicht erwartet.,0.9912705421447754
516,Das hast du absichtlich getan!,Ти це спеціально зробив!,Du hast es absichtlich getan!,0.9578119516372681
517,Das hat mich gerettet.,Це мене врятувало.,Das hat mich gerettet.,0.9999999403953552
518,Das hat nichts mit euch zu tun.,Це не має до вас жодного відношення.,Das hat nichts mit dir zu tun.,0.9723185896873474
519,Das hat nichts mit euch zu tun.,Це не має до вас жодного стосунку.,Das hat nichts mit Ihnen zu tun.,0.9676548838615417
520,Das hat nichts mit Ihnen zu tun.,Це не має до вас жодного відношення.,Das hat nichts mit dir zu tun.,0.9692118167877197
521,Das hat niemand von uns vor.,Ніхто з нас не планує це зробити.,"Niemand von uns hat vor, das zu tun.",0.9454365372657776
522,Das hätte ich beinahe vergessen.,Я мало не забув цього зробити.,Ich hätte es fast vergessen.,0.9210302829742432
523,Das hat Tom gar nicht gesagt.,Том цього не казав.,Tom hat das nicht gesagt.,0.9595551490783691
524,Das Haus brennt.,Дім горить!,Das Haus brennt!,1.0
525,"Das Haus ist komplett abgebrannt, bevor die Feuerwehr kam.","До того часу, як приїхала пожежна бригада, весь будинок згорів.","Als die Feuerwehr eintraf, brannte das ganze Haus nieder.",0.8693292140960693
526,Das Haus ist rot.,Будинок червоний.,Das Haus ist rot.,1.0
527,Das Haus war leer bis auf eine Katze.,"Будинок був пустим, за винятком кота.","Das Haus war leer, außer Katzen.",0.9439507126808167
528,Das Haus wurde durch Feuer zerstört.,Будинок був зруйнований вогнем.,Das Haus wurde zerstört.,0.9659104347229004
529,Das Heidentum ist viel näher an der Natur als das Christentum.,"Язичництво набагато ближче до природи, ніж християнство.",Das Heidentum ist der Natur viel näher als das Christentum.,0.985786497592926
530,Das hier ergibt keinen Sinn.,Це без сенсу.,Das ergibt keinen Sinn.,0.9759382605552673
531,Das hier ergibt keinen Sinn.,Це не має сенсу.,Das ergibt keinen Sinn.,0.9759382605552673
532,"Das hier ist haargenau das Buch, nach dem ich suchte.","Це саме та книга, яку я шукав.","Das ist genau das Buch, nach dem ich gesucht habe.",0.9232099056243896
533,Das hier ist mein Bruder Tom.,Це мій брат Том.,Das ist mein Bruder Tom.,0.9661730527877808
534,Das hoffe ich.,"Сподіваюся, що так.",Ich hoffe es.,0.9255061149597168
535,Das hoffe ich.,Я на це сподіваюся.,Das hoffe ich.,1.0000001192092896
536,Das interessiert mich nicht.,Це мене не цікавить.,Das interessiert mich nicht.,1.0
537,Das ist alles deine Schuld!,Це все твоя вина.,Es ist alles deine Schuld.,0.9809169769287109
538,Das ist alles deine Schuld!,Це все твоя провина.,Es ist alles deine Schuld.,0.9809169769287109
539,"Das ist alles, was ich versprechen kann.","Це все, що я можу пообіцяти.","Das ist alles, was ich versprechen kann.",1.0000001192092896
540,Das ist alles?,Це все?,Ist das alles?,0.9572227597236633
541,Das ist auch wahr.,Це також вірно.,Auch das ist wahr.,0.9740440845489502
542,Das ist auf meinem Mist gewachsen.,Це була моя ідея.,Das war meine Idee.,0.8477899432182312
543,Das ist bequem.,Зручно.,Das ist bequem.,1.0
544,"Das ist besser, oder?","Так краще, так?","So ist es besser, oder?",0.9452449083328247
545,Das ist besser.,Так краще.,So ist es besser.,0.9035937786102295
546,Das ist besser.,Так ліпше.,So ist es besser.,0.9035937786102295
547,Das ist Copacabana!,Це Копакабана!,Das ist Copacabana!,1.000000238418579
548,"Das ist das Dümmste, was ich je gesagt habe.","Це найбільша нісенітниця, яку я коли-небудь казав.","Das ist der größte Unsinn, den ich je gesagt habe.",0.9278026819229126
549,Das ist das Interessanteste.,Це саме цікаве.,Das ist interessant.,0.9398947954177856
550,Das ist das letzte Mal.,Це в останній раз.,Das ist das letzte Mal.,1.0
551,Das ist dein Buch.,Це твоя книжка.,Das ist dein Buch.,1.0
552,Das ist deine Aufgabe.,Це твоя робота.,Das ist dein Job.,0.9124388694763184
553,Das ist dein Hauptproblem.,Це твоя головна проблема.,Das ist dein größtes Problem.,0.8834934830665588
554,"Das ist dein Hut, oder?","Це твій капелюх, так?","Das ist dein Hut, oder?",1.0000001192092896
555,Das ist dein Platz.,Це твоє місце.,Das ist dein Platz.,1.0000001192092896
556,Das ist deins.,Це твій.,Das gehört dir.,0.8450698852539062
557,"Das ist der Grund, weshalb ich herkam.","Це і є причина, чому я сюди прийшов.","Das ist der Grund, warum ich hierher gekommen bin.",0.893092155456543
558,Das ist der heißeste Sommer seit 50 Jahren.,Це найспекотніше літо за п’ятдесят років.,Es ist der heißeste Sommer in 50 Jahren.,0.9635307788848877
559,Das ist der letzte Zug.,Це останній потяг.,Das ist der letzte Zug.,1.0000001192092896
560,"Das ist der Mann, den ich gut kenne.","Це людина, яку я добре знаю.","Das ist der Mann, den ich gut kenne.",0.9999998807907104
561,Das ist der Rechner meiner Mutter.,Це комп'ютер моєї мами.,Das ist der Computer meiner Mutter.,0.9483582973480225
562,Das ist der wichtigste Grund.,Це найважливіша причина.,Das ist der wichtigste Grund.,1.0
563,Das ist die Ansicht eines Dilettanten.,Це думка дилетанта.,Das ist die Idee des Dilettants.,0.8874682188034058
564,Das ist die einzige Möglichkeit.,Це єдина можливість.,Das ist die einzige Möglichkeit.,0.9999998807907104
565,Das ist die erste Reise meines Lebens.,Це перша подорож у моєму житті.,Das ist die erste Reise meines Lebens.,0.9999998807907104
566,Das ist die Kamera meiner Schwester.,Це фотоапарат моєї сестри.,Das ist die Kamera meiner Schwester.,1.0
567,"Das ist doch nicht so einfach, wie ich dachte.","Це не так просто, як мені здавалося.","Es ist nicht so einfach, wie ich dachte.",0.9837713241577148
568,Das ist durchaus möglich.,Це цілком можливо.,Das ist absolut möglich.,0.9121930003166199
569,Das ist ein Adverb.,Це прислівник.,Das ist ein Adverb.,1.0
570,Das ist ein altes Gesetz.,Це стародавній закон.,Das ist ein altes Gesetz.,0.9999999403953552
571,Das ist ein Boot.,Це човен.,Das ist ein Boot.,1.0
572,Das ist ein Buch über Fettleibigkeit.,Ця книга про ожиріння.,Dieses Buch handelt von Fettleibigkeit.,0.9303640723228455
573,Das ist ein Buch über Sterne.,Ця книга про зірки.,Dieses Buch ist über die Sterne.,0.9375584721565247
574,Das ist ein Buch über Tiere.,Ця книга про тварин.,Dieses Buch handelt von Tieren.,0.8837816715240479
575,Das ist eine Ausnahme.,Це виняток.,Das ist eine Ausnahme.,1.0000001192092896
576,Das ist eine bewiesene Tatsache.,Це доведений факт.,Das ist eine Tatsache.,0.9486566781997681
577,Das ist eine gute Antwort.,Це добра відповідь.,Das ist eine gute Antwort.,0.9999999403953552
578,Das ist eine gute Idee!,Це гарна ідея!,Das ist eine gute Idee!,1.0
579,Das ist eine gute Regel.,Це хороше правило.,Das ist eine gute Regel.,1.0000001192092896
580,Das ist eine gute Schule.,Це хороша школа.,Das ist eine gute Schule.,1.0
581,"Das ist eine gute Zeitung, stimmt's?","Це хороша газета, чи не так?","Das ist eine gute Zeitung, nicht wahr?",0.9223063588142395
582,Das ist eine japanische Puppe.,Це японська лялька.,Das ist eine japanische Puppe.,1.0000001192092896
583,Das ist eine Katastrophe.,Це катастрофа.,Es ist eine Katastrophe.,0.972184956073761
584,Das ist eine Kopie.,Це копія.,Das ist eine Kopie.,1.0
585,Das ist eine lange Geschichte.,Це довга історія.,Das ist eine lange Geschichte.,1.0
586,Das ist eine Lüge!,Це брехня!,Das ist eine Lüge!,1.0
587,Das ist ein enormer Verlust.,Це величезна втрата.,Das ist ein großer Verlust.,0.9212038516998291
588,Das ist eine schwere Anschuldigung.,Це дуже серйозне звинувачення.,Das ist ein ernstzunehmender Vorwurf.,0.8454817533493042
589,Das ist eine schwere Sprache.,Це тяжка мова.,Das ist eine schwierige Sprache.,0.9473361968994141
590,Das ist eine sehr einfache Idee.,Це дуже проста ідея.,Das ist eine sehr einfache Idee.,0.9999998807907104
591,"Das ist eine sehr heimtückische Krankheit. Man bemerkt sie erst, wenn es zu spät ist.","Це дуже підступна хвороба. Ти її не помічаєш, допоки не стає запізно.","Es ist eine sehr heimtückische Krankheit, die man erst bemerkt, wenn es zu spät ist.",0.9813496470451355
592,Das ist eine sehr schöne Blume.,Це дуже гарна квітка.,Das ist eine sehr schöne Blume.,1.0
593,Das ist eine Silbermünze.,Це срібна монета.,Das ist eine Silbermünze.,1.0000001192092896
594,Das ist eine tolle Idee.,Це чудова ідея.,Das ist eine tolle Idee.,1.0000001192092896
595,Das ist eine Überraschung.,Це сюрприз.,Das ist eine Überraschung.,1.0000001192092896
596,Das ist eine wichtige Frage.,Це важливе питання.,Das ist eine wichtige Frage.,1.0
597,Das ist ein Foto meiner Schwester.,Це фотографія моєї сестри.,Das ist ein Foto von meiner Schwester.,0.9860268235206604
598,Das ist ein Foto.,Це фотографія.,Das ist ein Foto.,1.0
599,Das ist ein Geschenk für dich.,Це подарунок тобі.,Das ist ein Geschenk für dich.,1.0000001192092896
600,Das ist ein Geschenk für dich.,Це тобі подарунок.,Das ist ein Geschenk für dich.,1.0000001192092896
601,Das ist ein Geschenk für Sie.,Це подарунок вам.,Es ist ein Geschenk für Sie.,0.9824375510215759
602,Das ist ein Geschenk für Sie.,Це подарунок для вас.,Es ist ein Geschenk für Sie.,0.9824375510215759
603,Das ist ein Hotel.,Це готель.,Das ist ein Hotel.,1.0
604,"Das ist ein kleiner Schritt für den Menschen, aber ein riesiger Sprung für die Menschheit.","Це маленький крок для людини, але величезний стрибок для людства.","Das ist ein kleiner Schritt für den Menschen, aber ein riesiger Sprung für die Menschheit.",0.9999999403953552
605,Das ist ein kleines Buch.,Це маленька книжка.,Das ist ein kleines Buch.,1.0000001192092896
606,Das ist ein Löwe.,Це лев.,Das ist ein Löwe.,1.0
607,Das ist ein Pferd.,Це кінь.,Es ist ein Pferd.,0.9721476435661316
608,Das ist ein Problem.,Це проблема.,Das ist ein Problem.,1.0
609,Das ist ein Riesenfehler.,Це величезна помилка.,Das ist ein riesiger Fehler.,0.9387576580047607
610,Das ist ein rutschiger Abhang.,Це слизька доріжка.,Das ist ein rutschiges Stück.,0.9376524686813354
611,Das ist ein Satz.,Це речення.,Das ist ein Satz.,1.0
612,Das ist ein Schneemann.,Це сніговик.,Das ist ein Schneemann.,1.000000238418579
613,Das ist ein schönes T-Shirt.,Це гарна футболка.,Das ist ein schönes T-Shirt.,1.0000001192092896
614,Das ist ein sehr nützliches Wörterbuch.,Це дуже корисний словник.,Es ist ein sehr nützliches Wörterbuch.,0.9876332879066467
615,Das ist ein Verbrechen.,Це злочин.,Es ist ein Verbrechen.,0.9712128043174744
616,Das ist ein ziemlich riskanter Beruf.,Це доволі ризикована робота.,Das ist eine ziemlich riskante Arbeit.,0.9377026557922363
617,Das ist entsetzlich teuer.,Це надзвичайно дорого.,Das ist sehr teuer.,0.9133511185646057
618,Das ist Erpressung!,Це шантаж.,Das ist Erpressung.,0.9999999403953552
619,Das ist er.,Це він.,Das ist er.,1.0
620,Das ist etwas anderes.,То інша справа.,Das ist was anderes.,0.9282320141792297
621,Das ist etwas anderes.,Це інша справа.,Das ist was anderes.,0.9282320141792297
622,Das ist eure Entscheidung.,Це ваше рішення.,Das ist Ihre Entscheidung.,0.9570873975753784
623,Das ist Fleisch.,Це м'ясо.,Das ist Fleisch.,1.0
624,Das ist für dich.,Це тобі.,Das ist für dich.,1.0
625,Das ist für jetzt genug.,На даний момент досить.,Das reicht jetzt.,0.9157571792602539
626,Das ist für jetzt genug.,Поки що вистачить.,Jetzt reicht's.,0.841511607170105
627,Das ist für Sie.,Це вам.,Das ist für Sie.,1.0000001192092896
628,Das ist gar nicht so übel!,Це не так вже й погано!,Das ist nicht so schlimm!,0.92249596118927
629,Das ist gefährlich.,Це небезпечно.,Es ist gefährlich.,0.970258355140686
630,"Das ist genau das Buch, wonach ich gesucht habe.","Це саме та книга, яку я шукав.","Das ist genau das Buch, nach dem ich gesucht habe.",0.9759443402290344
631,"Das ist genau die Uhr, die ich letzte Woche verloren habe.","Це той самий годинник, що я загубив тиждень тому.","Das ist die gleiche Uhr, die ich vor einer Woche verloren habe.",0.9483562707901001
632,"Das ist genug für heute, ich bin müde.","На сьогодні досить, я втомився.","Heute reicht's mir, ich bin müde.",0.9071018695831299
633,Das ist gerechtfertigt.,Ци виправдано.,Das ist gerechtfertigt.,0.9999998807907104
634,Das ist Gift.,Це отрута.,Das ist Gift.,1.0
635,Das ist Herr Pedro.,Це пан Педро.,Das ist Mr. Pedro.,0.9110550284385681
636,Das ist ihr Buch.,Це їхня книжка.,Das ist ihr Buch.,1.0
637,Das ist Ihre Entscheidung.,Це ваше рішення.,Das ist Ihre Entscheidung.,1.0
638,Das ist Ihr Problem.,Це ваша проблема.,Das ist Ihr Problem.,1.0
639,Das ist illegal.,Це незаконно.,Das ist illegal.,0.9999999403953552
640,Das ist kein Apfelsinenbaum.,Це не апельсинове дерево.,Das ist kein Orangenbaum.,0.8652397990226746
641,Das ist kein Blut. Das ist Rote Bete.,Це не кров. Це буряк.,"Es ist kein Blut, es ist ein Sturm.",0.907860279083252
642,"Das ist keine Schlange, sondern nur ein Stück Seil.",Це не змія. Це всього лише шматок мотузки.,Es ist nur ein Stück Seil.,0.9247868061065674
643,Das ist kein Essen.,Це не їжа.,Das ist kein Essen.,0.9999998807907104
644,Das ist keine zufällige Fügung.,Це не збіг обставин.,Das ist kein Zufall.,0.9263613820075989
645,"Das ist kein Hebräisch, sondern Jiddisch.",Це не іврит. Це ідиш.,"Das ist kein Hebräisch, sondern ein Idish.",0.9489295482635498
646,Das ist kein Irrtum.,Це не помилка.,Das ist kein Fehler.,0.9053497314453125
647,Das ist kein Salz.,Це не сіль.,Das ist kein Salz.,1.0000001192092896
648,Das ist kein Schwein; das ist ein Affe.,Це не свиня; це мавпа.,Das ist kein Schwein; das ist ein Affe.,1.0
649,Das ist kein Spielzeug!,Це не іграшка!,Das ist kein Spielzeug!,1.0
650,Das ist kein Spiel!,Це не гра.,Das ist kein Spiel.,1.0
651,Das ist kein Tiger.,Це не тигр.,Das ist kein Tiger.,0.9999999403953552
652,Das ist kein Trinkwasser.,Це непитна вода.,Das ist kein Wasser.,0.9404082298278809
653,Das ist kein Trinkwasser.,Ця вода непитна.,Das Wasser ist nicht trinkbar.,0.9061105251312256
654,Das ist kinderleicht!,Це дуже легко!,Das ist sehr einfach!,0.8767810463905334
655,Das ist komisch.,Це кумедно.,Das ist lustig.,0.8846230506896973
656,Das ist leichter gesagt als getan.,"Простіше сказати, ніж зробити.",Einfacher gesagt als getan.,0.9283985495567322
657,Das ist leicht.,Це легко.,Das ist leicht.,0.9999999403953552
658,Das ist lustig.,Це кумедно.,Das ist lustig.,0.9999998807907104
659,Das ist mein Bruder Tom.,Це мій брат Том.,Das ist mein Bruder Tom.,1.0000001192092896
660,Das ist meine Angelegenheit.,Це моя справа.,Das ist meine Sache.,0.8998688459396362
661,Das ist meine CD.,Це мій диск.,Das ist meine CD.,1.0
662,Das ist meine Geschäftsadresse.,Це моя рабоча адреса.,Das ist meine Sklavenadresse.,0.9086857438087463
663,Das ist meine Großmutter.,Це моя бабуся.,Das ist meine Großmutter.,1.0000001192092896
664,Das ist meine Hose.,Це мої штани.,Das sind meine Hosen.,0.9160977602005005
665,Das ist meine Idee.,Це моя ідея.,Das ist meine Idee.,1.0
666,Das ist meine Küche.,Це моя кухня.,Das ist meine Küche.,1.0000001192092896
667,Das ist meine Lieblingsband.,Це моя улюблена група.,Das ist meine Lieblingsgruppe.,0.9396258592605591
668,Das ist meine Postleitzahl.,Це мій поштовий індекс.,Das ist mein Postleitzahlindex.,0.9455885291099548
669,"Das ist mein erster Flug. Ich bin nervös, sagt Hiroshi.","Це мій перший політ. Я нервуюся, - каже Хіросі.","Das ist mein erster Flug, ich bin nervös, sagt Hiroshi.",1.0
670,Das ist meine Schwester Maria.,Це моя сестра Мері.,Das ist meine Schwester Mary.,0.987694263458252
671,Das ist meine Schwester. Sie heißt Julia.,Це моя сестра. Її звати Юля.,"Das ist meine Schwester, Yuille.",0.9305887222290039
672,Das ist meine Schwester.,Це моя сестра.,Das ist meine Schwester.,1.0
673,Das ist meine Uhr.,Цей годинник мій.,Diese Uhr ist meine.,0.9417603015899658
674,Das ist mein Fahrrad.,Це мій велосипед.,Das ist mein Fahrrad.,1.0
675,Das ist mein Freund Tom.,Це мій друг Том.,Das ist mein Freund Tom.,1.0000001192092896
676,Das ist mein Geld.,Це мої гроші.,Das ist mein Geld.,0.9999999403953552
677,Das ist mein letztes Wort.,Це моя остаточна відповідь.,Das ist meine letzte Antwort.,0.9447628855705261
678,Das ist mein Lieblingsgericht.,Це моя улюблена страва.,Das ist mein Lieblingsessen.,0.9374366402626038
679,Das ist mein Lieblingslied.,Це моя улюблена пісня.,Das ist mein Lieblingslied.,1.0000001192092896
680,Das ist mein Lieblingsstuhl.,Це мій улюблений стілець.,Das ist mein Lieblingsstuhl.,1.0
681,Das ist mein Lied!,Це моя пісня!,Das ist mein Lied!,0.9999999403953552
682,Das ist mein Schlafzimmer.,Це моя спальня.,Das ist mein Schlafzimmer.,0.9999999403953552
683,Das ist mir egal.,Я не заперечую.,Ich leugne nicht.,0.788154125213623
684,Das ist mir völlig egal!,Мені цілком байдуже!,Es ist mir völlig egal!,0.9746118783950806
685,Das ist nicht das einzige Problem.,Це не єдина проблема.,Das ist nicht das einzige Problem.,1.0000001192092896
686,"Das ist nicht das, was ich bestellt habe.",Я не це замовляла.,Das habe ich nicht bestellt.,0.9570357203483582
687,Das ist nicht immer der Fall.,Це не завжди так.,Das ist nicht immer so.,0.959255576133728
688,Das ist nicht komisch.,Це не смішно.,Das ist nicht witzig.,0.912196695804596
689,Das ist nicht legal.,Це незаконно.,Das ist illegal.,0.9031767845153809
690,Das ist nicht logisch.,Це нелогічно.,Das ergibt keinen Sinn.,0.8379372954368591
691,"Das ist nicht meine Meinung, nur meine Übersetzung!","Це не моя точка зору, а лише мій переклад!","Das ist nicht meine Meinung, sondern meine Übersetzung!",0.9779296517372131
692,"Das ist nicht mein Haus, nein.","Ні, це не мій будинок.","Nein, das ist nicht mein Haus.",0.9627920985221863
693,Das ist nicht möglich!,Це неможливо!,Das ist unmöglich!,0.9115926027297974
694,Das ist nichts für dich.,Це не тобі.,Das ist nicht für dich.,0.9825899600982666
695,Das ist nicht sicher.,Це не є безпечним.,Das ist nicht sicher.,0.9999999403953552
696,"Das ist nichts, was jeder Beliebige tun kann.","Це не те, що може зробити кожен.","Das ist nicht, was jeder tun kann.",0.9581430554389954
697,Das ist nicht Tom.,Це не Том.,Das ist nicht Tom.,0.9999999403953552
698,Das ist nicht unmöglich.,Це не неможливо.,Das ist unmöglich.,0.9680315852165222
699,Das ist nicht verkäuflich.,Це не на продаж.,Das ist nicht der Verkauf.,0.9543665647506714
700,"Das ist nicht, was ich bestellt habe.",Я не це замовляв.,Das habe ich nicht gesagt.,0.9166039228439331
701,"Das ist nicht, was ich bestellt habe.",Я не це замовляла.,Das habe ich nicht bestellt.,0.9619387984275818
702,Das ist nicht wichtig.,Це не має значення.,Das spielt keine Rolle.,0.8511262536048889
703,Das ist nicht zum Lachen!,Це не смішно!,Das ist nicht witzig!,0.9139847159385681
704,Das ist nicht zum Lachen!,Це не смішно.,Das ist nicht witzig.,0.9139847159385681
705,Das ist nur ein Placebo.,Це лише плацебо.,Das ist nur ein Placebo.,0.9999998807907104
706,Das ist original.,Оригінально.,Original.,0.7608299255371094
707,Das ist reine Zeitverschwendung.,Це тільки даремна трата часу.,Es ist nur eine Zeitverschwendung.,0.9558338522911072
708,Das ist richtig!,Вірно!,Genau!,0.657709002494812
709,Das ist Sabotage.,Це саботаж.,Das ist der Sabotdoba.,0.8317164182662964
710,Das ist schon aus der Mode.,Це вже не в моді.,Das ist nicht mehr in der Mode.,0.9208028316497803
711,Das ist sehr großzügig von Ihnen.,Це дуже великодушно з вашого боку.,Das ist sehr großzügig von Ihnen.,1.000000238418579
712,Das ist sehr schlecht.,Це дуже погано.,Das ist sehr schlecht.,1.0
713,Das ist sehr teuer.,Це надзвичайно дорого.,Das ist sehr teuer.,0.9999999403953552
714,Das ist sehr unprofessionell.,Це дуже непрофесійно.,Das ist sehr unprofessionell.,0.9999998211860657
715,Das ist sein Auto.,Це його машина.,Das ist sein Auto.,0.9999999403953552
716,Das ist seine Formel.,Це його формула.,Das ist seine Formel.,1.0000001192092896
717,Das ist seine Meinung.,Це його думка.,Das ist seine Meinung.,1.0
718,Das ist sein Haus.,Цей будинок належить йому.,Dieses Haus gehört ihm.,0.8386455774307251
719,Das ist sein Pferd.,Це її кінь.,Es ist ihr Pferd.,0.9320496320724487
720,Das ist sein Pferd.,Це його кінь.,Es ist sein Pferd.,0.9744031429290771
721,Das ist so klar wie Kloßbrühe.,Це ясно як божий день.,Es ist klar wie ein Tag für Gott.,0.8888499736785889
722,Das ist so langweilig.,Це так нудно.,Es ist so langweilig.,0.976543664932251
723,"Das ist Tom, mein Kollege.","Це Том, мій колега.","Das ist Tom, mein Kollege.",0.9999999403953552
724,Das ist Toms Familie.,Це родина Тома.,Das ist Toms Familie.,1.0000001192092896
725,Das ist Toms Job.,Це робота Тома.,Das ist Toms Werk.,0.9379369020462036
726,Das ist Toms Schirm.,Це парасолька Тома.,Das ist Toms Schirm.,0.9999999403953552
727,Das ist Toms Vater.,Це тато Тома.,Das ist Dad Tom.,0.8835020661354065
728,Das ist Tom.,Це Том.,Das ist Tom.,1.0
729,Das ist ungewöhnlich.,Це незвично.,Das ist ungewöhnlich.,1.0
730,Das ist unmöglich.,Це неможливо.,Das ist unmöglich.,0.9999999403953552
731,Das ist unser Auto.,Це наша машина.,Das ist unser Auto.,0.9999998807907104
732,Das ist unser Baseballplatz.,Це наше бейсбольне поле.,Das ist unser Baseballfeld.,0.9314295053482056
733,Das ist unsere Chance.,Це наш шанс.,Das ist unsere Chance.,0.9999999403953552
734,Das ist unsere Schule.,Це наша школа.,Das ist unsere Schule.,0.9999999403953552
735,Das ist verständlich.,Це зрозуміло.,Das ist verständlich.,1.0
736,Das ist völlig verständlich.,Це цілком зрозуміло.,Das ist verständlich.,0.9551094174385071
737,Das ist von meinem Vater.,Це належить батьку.,Das gehört meinem Vater.,0.9361295104026794
738,Das ist von Tom.,Це від Тома.,Das ist von Tom.,1.0
739,Das ist vor drei Tagen passiert.,Це було три дні тому.,Das war vor drei Tagen.,0.9322282671928406
740,Das ist Wasser.,Це вода.,Das ist Wasser.,0.9999997615814209
741,Das ist wirklich eine nette Überraschung!,Це насправді добрий сюрприз!,Das ist wirklich eine schöne Überraschung!,0.9675048589706421
742,Das ist wirklich großartig!,Це дивовижно!,Das ist großartig!,0.9667568802833557
743,Das ist wirklich traurig.,Це справді сумно.,Das ist wirklich traurig.,0.9999999403953552
744,Das ist zu teuer.,Це задорого!,Das ist zu teuer!,1.0
745,Das ist zu teuer!,Це занадто дорого!,Das ist zu teuer!,1.0
746,Das ist zu teuer.,Це занадто дорого!,Das ist zu teuer!,1.0
747,Das Jobangebot steht noch.,Пропозиція роботи ще в силі.,"Das Angebot, etwas zu tun, ist immer noch gültig.",0.8702343106269836
748,Das kann jeder.,Будь-хто може це зробити.,Jeder kann es.,0.9141526818275452
749,Das kann jeder.,Кожен може це зробити.,Jeder kann es.,0.9141526818275452
750,Das kann man in jedem Wörterbuch nachsehen.,Це є в будь-якому словнику.,Das ist in jedem Wörterbuch.,0.9150089621543884
751,Das kann nur sie sein.,Це може бути лише вона.,Es kann nur sie sein.,0.9720363020896912
752,Das kannst du nicht machen.,Не можна цього робити.,Das kannst du nicht machen.,1.0
753,Das Kind folgte mir zum Park.,Дитина пішла за мною до парку.,Mein Kind folgte mir in den Park.,0.9363047480583191
754,Das klingt vernünftig.,Звучить резонно.,Hört sich richtig an.,0.7925326824188232
755,Das klippklar.,Це ясно як божий день.,Es ist klar wie ein Tag für Gott.,0.7757295966148376
756,Das Klopapier ist alle!,Закінчився туалетний папір!,Das Toilettenpapier ist fertig!,0.8847336173057556
757,Das kommt auf den Zusammenhang an.,Це залежить від контексту.,Das hängt vom Kontext ab.,0.8485226631164551
