Unnamed: 0,de,uk,TRANSLATION,BLEU_Score,avg
439,Das ängstigt mich überhaupt nicht.,Я ані трохи цього не боюся.,Das ängstigt mich überhaupt nicht.,1.0,0.8304443303979759
440,Das Apartment war mit Möbeln im viktorianischen Stil eingerichtet.,Квартира була мебльована у вікторіанському стилі.,Das Apartment war mit Möbeln im viktorianischen Stil eingerichtet.,1.0,0.8304443303979759
441,Das Auto blieb im Schlamm stecken.,Машина застрягла в багні.,Das Auto blieb im Schlamm stecken.,1.0,0.8304443303979759
442,Das Auto fuhr gegen einen Telegrafenmast.,Автівка зіткнулась із телеграфним стовпом.,Das Auto fuhr gegen einen Telegrafenmast.,1.0,0.8304443303979759
443,Das Auto ist gelb.,Машина жовта.,Das Auto ist gelb.,1.0,0.8304443303979759
444,Das Auto ist in der Garage.,Машина в гаражі.,Das Auto ist in der Garage.,1.0,0.8304443303979759
445,Das Auto springt nicht an.,Автомобіль не заводиться.,Das Auto springt nicht an.,1.0,0.8304443303979759
446,Das Auto stieß mit dem LKW zusammen.,Автомобіль врізався у вантажівку.,Das Auto stieß mit dem LKW zusammen.,1.0,0.8304443303979759
447,Das Baby läuft noch nicht.,Дитина ще не ходить.,Das Baby läuft noch nicht.,1.0,0.8304443303979759
448,Das Baby schläft gerade.,Немовля спить.,Das Baby schläft gerade.,1.0,0.8304443303979759
449,Das Baby schlief in der Wiege ein.,Дитина заснула в колисці.,Das Baby schlief in der Wiege ein.,1.0,0.8304443303979759
450,Das Baby sucht seine Mutter.,Дитя шукає маму.,Das Baby sucht seine Mutter.,1.0,0.8304443303979759
451,Das Baseballspiel endete unentschieden.,Бейсбольний матч закінчився з нічийним результатом.,Das Baseballspiel endete unentschieden.,1.0,0.8304443303979759
452,Das beste Buch über das Leben ist das Leben selbst.,Найкраща книжка про життя - власне життя.,Das beste Buch über das Leben ist das Leben selbst.,1.0,0.8304443303979759
453,Das Bett kostet 120 Euro!,Ліжко коштує 120 євро!,Das Bett kostet 120 Євро!,0.668740304976422,0.8304443303979759
454,Das beweist meine Theorie.,Це доводить мою теорію.,Das beweist meine Theorie.,1.0,0.8304443303979759
455,Das Bier ist sehr kalt.,Пиво дуже холодне.,Das Bier ist sehr kalt.,1.0,0.8304443303979759
456,Das Bild erinnerte mich an Schottland.,Картина нагадувала менi Шотландiю.,Das Bild erinnerte mich an Schottland.,1.0,0.8304443303979759
457,"Das brauchst du mir nicht zu sagen, du Idiot.","Можеш не говорити мені цього, ідіоте.","Das brauchst du mir nicht zu sagen, ду Idiot.",0.7506238537503395,0.8304443303979759
458,Das Brot ist frisch.,Хліб свіжий.,Das Brot ist frisch.,1.0,0.8304443303979759
459,Das Buch enthält viele Abbildungen.,Ця книжка має багато малюнків.,Das Buch enthält viele Abbildungen.,1.0,0.8304443303979759
460,"Das Bücherlesen hörte auf, das Privileg einer Minderheit zu sein.",Читання книжок більше не є привілеєм меншості.,"Das Bücherlesen hörte auf, das Privileg einer Minderheit zu sein.",1.0,0.8304443303979759
461,Das Buch handelt von Sternen.,Ця книжка про зірки.,Das Buch handelt von Sternen.,1.0,0.8304443303979759
462,Das Buch hat mir gefallen.,Мені сподобалася ця книжка.,Das Buch hat mir gefallen.,1.0,0.8304443303979759
463,Das Buch ist alt.,Книжка стара.,Das Buch ist alt.,1.0,0.8304443303979759
464,Das Buch ist geeignet für deine Bedürfnisse.,Ця книга відповідає твоїм потребам.,Das Buch ist geeignet für deine Bedürfnisse.,1.0,0.8304443303979759
465,Das Buch ist geeignet für Ihre Bedürfnisse.,Ця книга не відповідає Вашим потребам.,Das Buch ist geeignet für Ihre Bedürfnisse.,1.0,0.8304443303979759
466,Das Buch ist gelb.,Книжка жовта.,Das Buch ist gelb.,1.0,0.8304443303979759
467,Das Buch ist neu.,Ця книжка нова.,Das Buch ist neu.,1.0,0.8304443303979759
468,Das Buch ist orange.,Книжка помаранчева.,Das Buch ist orange.,1.0,0.8304443303979759
469,Das Buch ist weiß.,Книга біла.,Das Buch ist weiß.,1.0,0.8304443303979759
470,Das Ei ist ein universelles Symbol des Lebens und der Wiedergeburt.,Яйце - це універсальний символ життя та відродження.,Das Ei ist ein universelles Symbol des Lebens und der Wiedergeburt.,1.0,0.8304443303979759
471,Das Eis ist geschmolzen.,Крига розтанула.,Das Eis ist geschmolzen.,1.0,0.8304443303979759
472,Das Eis schmolz.,Крига розтанула.,Das Eis schmolz.,1.2213386697554703e-77,0.8304443303979759
473,Das Ende ist nahe.,Кінець вже близько.,Das Ende ist nahe.,1.0,0.8304443303979759
474,Das ergibt keinen Sinn.,Це не має сенсу.,Das ergibt keinen Sinn.,1.0,0.8304443303979759
475,Das erraten Sie nie!,Цього ти ніколи не вгадаєш!,Das erraten Sie nie!,1.0,0.8304443303979759
476,Das erwies sich als richtig.,Це виявилося правдою.,Das erwies sich als richtig.,1.0,0.8304443303979759
477,"Das Esperanto-Alphabet enthält achtundzwanzig Buchstaben: a, b, c, ĉ, d, e, f, g, ĝ, h, ĥ, i, j, ĵ, k, l, m, n, o, p, r, s, ŝ, t, u, ŭ, v, z.","Алфавіт есперанто має 28 літер: a, b, c, ĉ, d, e, f, g, ĝ, h, ĥ, i, j, ĵ, k, l, m, n, o, p, r, s, ŝ, t, u, ŭ, v, z.","Das Esperanto-Alphabet enthält achtundzwanzig Buchstaben: a, b, c, t, d, e, f, g, yt, h, ĥ, i, j, m, n, o, p, r, s, t, u, ŭ, v, z.",0.6054931555055156,0.8304443303979759
478,Das esse ich nicht.,Я цього не буду їсти.,Das esse ich nicht.,1.0,0.8304443303979759
479,Das Experiment scheiterte.,Експеримент закінчився невдало.,Das Experiment scheiterte.,1.2213386697554703e-77,0.8304443303979759
480,Das Fahrrad gehört mir.,Цей велосипед належить мені.,Das Fahrrad gehört mir.,1.0,0.8304443303979759
481,Das Fahrrad ist meins.,Цей велосипед належить мені.,Das Fahrrad ist meins.,1.0,0.8304443303979759
482,Das Feld ist mit Schnee bedeckt.,Поле вкрите снігом.,Das Feld ist mit Schnee bedeckt.,1.0,0.8304443303979759
483,Das Fenster ist offen.,Вікно відкрите.,Das Fenster ist offen.,1.0,0.8304443303979759
484,Das Fenster öffnete sich.,Вікно відчинилося.,Das Fenster öffnete sich.,1.0,0.8304443303979759
485,Das Fernsehen zerstört das Familienleben.,Телевізор руйнує родинне життя.,Das Fernsehen zerstört das Familienleben.,1.0,0.8304443303979759
486,Das Fest ist zu Ende.,Вечірка закінчилася.,Das Fest ist zu Ende.,1.0,0.8304443303979759
487,Das Fest ist zu Ende.,Вечірка скінчилася.,Das Fest ist zu Ende.,1.0,0.8304443303979759
488,Das Festival war alles andere als öde.,Фестиваль був далеко не нудним.,Das Festival war alles andere als öde.,1.0,0.8304443303979759
489,Das Fleisch ist roh.,М'ясо сире.,Das Fleisch ist roh.,1.0,0.8304443303979759
490,Das Fleisch ist zäh.,М'ясо жорстке.,Das Fleisch ist zäh.,1.0,0.8304443303979759
491,Das Fleisch schmeckt schlecht.,М'ясо погано смакує.,Das Fleisch schmeckt schlecht.,1.0,0.8304443303979759
492,Das Flugzeug flog über den Wolken.,Літак летів над хмарами.,Das Flugzeug flog über den Wolken.,1.0,0.8304443303979759
493,Das Flugzeug ist abgestürzt.,Літак розбився.,Das Flugzeug ist abgestürzt.,1.0,0.8304443303979759
494,Das Flugzeug wird in einer Stunde abheben.,Літак злетить за годину.,Das Flugzeug wird in einer Stunde abheben.,1.0,0.8304443303979759
495,Das frisch getraute Paar ging Hand in Hand.,"Молоді йшли, узявшись за руки.",Das frisch getraute Paar ging Hand in Hand.,1.0,0.8304443303979759
496,Das Frühstück ist bereitet.,Сніданок готовий.,Das Frühstück ist bereitet.,1.0,0.8304443303979759
497,Das Frühstück war sehr gut.,Сніданок був дуже смачний.,Das Frühstück war sehr gut.,1.0,0.8304443303979759
498,Das funktioniert nie.,Це ніколи не запрацює.,Das funktioniert nie.,1.2213386697554703e-77,0.8304443303979759
499,Das funktioniert nie.,Це ніколи не спрацює.,Das funktioniert nie.,1.2213386697554703e-77,0.8304443303979759
500,Das Gebäude hat ein russischer Architekt gebaut.,Будинок побудовано російським архитектором.,Das Gebäude hat ein russischer Architekt gebaut.,1.0,0.8304443303979759
501,Das Gebäude wurde von einem russischen Architekten erbaut.,Будинок побудовано російським архитектором.,Das Gebäude wurde von einem russischen Architekten erbaut.,1.0,0.8304443303979759
502,Das Gegenteil von unpraktisch ist praktisch.,Антонім до непрактичності - практичність.,Das Gegenteil von unpraktisch ist praktisch.,1.0,0.8304443303979759
503,Das gehört ihm.,Це його.,Das gehört ihm.,1.2213386697554703e-77,0.8304443303979759
504,Das geht dich nichts an.,Це не твоя справа.,Das geht dich nichts an.,1.0,0.8304443303979759
505,Das geht vorbei.,Це піде у минуле.,Das geht vorbei.,1.2213386697554703e-77,0.8304443303979759
506,Das gesamteuropäische Sabantuy 2014 findet am 7. Juni in Riga statt. Die jährliche Organisation dieses nationalen tatarischen Feiertags in den Kulturhauptstädten des Kontinents wird zu einer guten Tradition.,Європейський Сабантуй 2014 року проходить 7 червня в Ризі. Щорічна організація цих татарських національних свят у культурних столицях континенту стає доброю традицією.,Das gesamteuropäische Sabantuy 2014 findet am 7. Juni in Riga statt. Die jährliche Organisation dieses nationalen tatarischen Feiertags in den Kulturhauptstädten des Kontinents wird zu einer guten Tradition.,1.0,0.8304443303979759
507,Das Geschäft ist gerade gegenüber von meinem Haus.,Крамниця знаходиться просто навпроти мого будинку.,Das Geschäft ist gerade gegenüber von meinem Haus.,1.0,0.8304443303979759
508,Das Gesetz ist für alle gleich.,Закон один для всіх.,Das Gesetz ist für alle gleich.,1.0,0.8304443303979759
509,Das Gesicht ist der Spiegel der Seele.,Обличчя - дзеркало душі.,Das Gesicht ist der Spiegel der Seele.,1.0,0.8304443303979759
510,Das glaube ich nicht.,Я в це не вірю.,Das glaube ich nicht.,1.0,0.8304443303979759
511,Das glaube ich.,"Думаю, так.",Das glaube ich.,1.2213386697554703e-77,0.8304443303979759
512,"Das Glück liegt nicht darin, viele Dinge zu besitzen.","Щастя не в тому, щоб володіти багатьма речами.","Das Glück liegt nicht darin, viele Dinge zu besitzen.",1.0,0.8304443303979759
513,Das habe ich als Kind immer gemacht.,Я так робив у дитинстві.,Das habe ich als Kind immer gemacht.,1.0,0.8304443303979759
514,Das habe ich von dir gelernt.,Я навчилася цього у тебе.,Das habe ich von dir gelernt.,1.0,0.8304443303979759
515,Das habe ich wirklich nicht von dir erwartet.,Я такого від тебе дійсно не очікувала.,Das habe ich wirklich nicht von dir erwartet.,1.0,0.8304443303979759
516,Das hast du absichtlich getan!,Ти це спеціально зробив!,Das hast du absichtlich getan!,1.0,0.8304443303979759
517,Das hat mich gerettet.,Це мене врятувало.,Das hat mich gerettet.,1.0,0.8304443303979759
518,Das hat nichts mit euch zu tun.,Це не має до вас жодного відношення.,Das hat nichts mit euch zu tun.,1.0,0.8304443303979759
519,Das hat nichts mit euch zu tun.,Це не має до вас жодного стосунку.,Das hat nichts mit euch zu tun.,1.0,0.8304443303979759
520,Das hat nichts mit Ihnen zu tun.,Це не має до вас жодного відношення.,Das hat nichts mit Ihnen zu tun.,1.0,0.8304443303979759
521,Das hat niemand von uns vor.,Ніхто з нас не планує це зробити.,Das hat niemand von uns vor.,1.0,0.8304443303979759
522,Das hätte ich beinahe vergessen.,Я мало не забув цього зробити.,Das hätte ich beinahe vergessen.,1.0,0.8304443303979759
523,Das hat Tom gar nicht gesagt.,Том цього не казав.,Das hat Tom gar nicht gesagt.,1.0,0.8304443303979759
524,Das Haus brennt.,Дім горить!,Das Haus brennt.,1.2213386697554703e-77,0.8304443303979759
525,"Das Haus ist komplett abgebrannt, bevor die Feuerwehr kam.","До того часу, як приїхала пожежна бригада, весь будинок згорів.","Das Haus ist komplett abgebrannt, bevor die Feuerwehr kam.",1.0,0.8304443303979759
526,Das Haus ist rot.,Будинок червоний.,Das Haus ist rot.,1.0,0.8304443303979759
527,Das Haus war leer bis auf eine Katze.,"Будинок був пустим, за винятком кота.",Das Haus war leer bis auf eine Katze.,1.0,0.8304443303979759
528,Das Haus wurde durch Feuer zerstört.,Будинок був зруйнований вогнем.,Das Haus wurde durch Feuer zerstört.,1.0,0.8304443303979759
529,Das Heidentum ist viel näher an der Natur als das Christentum.,"Язичництво набагато ближче до природи, ніж християнство.",Das Heidentum ist viel näher an der Natur als das Christentum.,1.0,0.8304443303979759
530,Das hier ergibt keinen Sinn.,Це без сенсу.,Das hier ergibt keinen Sinn.,1.0,0.8304443303979759
531,Das hier ergibt keinen Sinn.,Це не має сенсу.,Das hier ergibt keinen Sinn.,1.0,0.8304443303979759
532,"Das hier ist haargenau das Buch, nach dem ich suchte.","Це саме та книга, яку я шукав.","Das hier ist haargenau das Buch, nach dem ich suchte.",1.0,0.8304443303979759
533,Das hier ist mein Bruder Tom.,Це мій брат Том.,Das hier ist mein Bruder Tom.,1.0,0.8304443303979759
534,Das hoffe ich.,"Сподіваюся, що так.",Das hoffe ich.,1.2213386697554703e-77,0.8304443303979759
535,Das hoffe ich.,Я на це сподіваюся.,Das hoffe ich.,1.2213386697554703e-77,0.8304443303979759
536,Das interessiert mich nicht.,Це мене не цікавить.,Das interessiert mich nicht.,1.0,0.8304443303979759
537,Das ist alles deine Schuld!,Це все твоя вина.,Das ist alles deine Schuld!,1.0,0.8304443303979759
538,Das ist alles deine Schuld!,Це все твоя провина.,Das ist alles deine Schuld!,1.0,0.8304443303979759
539,"Das ist alles, was ich versprechen kann.","Це все, що я можу пообіцяти.","Das ist alles, was ich versprechen kann.",1.0,0.8304443303979759
540,Das ist alles?,Це все?,Das ist alles?,1.0,0.8304443303979759
541,Das ist auch wahr.,Це також вірно.,Das ist auch wahr.,1.0,0.8304443303979759
542,Das ist auf meinem Mist gewachsen.,Це була моя ідея.,Das ist auf meinem Mist gewachsen.,1.0,0.8304443303979759
543,Das ist bequem.,Зручно.,Das ist bequem.,1.2213386697554703e-77,0.8304443303979759
544,"Das ist besser, oder?","Так краще, так?","Das ist besser, oder?",1.0,0.8304443303979759
545,Das ist besser.,Так краще.,Das ist besser.,1.2213386697554703e-77,0.8304443303979759
546,Das ist besser.,Так ліпше.,Das ist besser.,1.2213386697554703e-77,0.8304443303979759
547,Das ist Copacabana!,Це Копакабана!,Das ist Copacabana!,1.2213386697554703e-77,0.8304443303979759
548,"Das ist das Dümmste, was ich je gesagt habe.","Це найбільша нісенітниця, яку я коли-небудь казав.","Das ist das Dümmste, was ich je gesagt habe.",1.0,0.8304443303979759
549,Das ist das Interessanteste.,Це саме цікаве.,Das ist das Interessanteste.,1.0,0.8304443303979759
550,Das ist das letzte Mal.,Це в останній раз.,Das ist das letzte Mal.,1.0,0.8304443303979759
551,Das ist dein Buch.,Це твоя книжка.,Das ist dein Buch.,1.0,0.8304443303979759
552,Das ist deine Aufgabe.,Це твоя робота.,Das ist deine Aufgabe.,1.0,0.8304443303979759
553,Das ist dein Hauptproblem.,Це твоя головна проблема.,Das ist dein Hauptproblem.,1.0,0.8304443303979759
554,"Das ist dein Hut, oder?","Це твій капелюх, так?","Das ist dein Hut, oder?",1.0,0.8304443303979759
555,Das ist dein Platz.,Це твоє місце.,Das ist dein Platz.,1.0,0.8304443303979759
556,Das ist deins.,Це твій.,Das ist deins.,1.2213386697554703e-77,0.8304443303979759
557,"Das ist der Grund, weshalb ich herkam.","Це і є причина, чому я сюди прийшов.","Das ist der Grund, weshalb ich herkam.",1.0,0.8304443303979759
558,Das ist der heißeste Sommer seit 50 Jahren.,Це найспекотніше літо за п’ятдесят років.,Das ist der heißeste Sommer seit 50 Jahren.,1.0,0.8304443303979759
559,Das ist der letzte Zug.,Це останній потяг.,Das ist der letzte Zug.,1.0,0.8304443303979759
560,"Das ist der Mann, den ich gut kenne.","Це людина, яку я добре знаю.","Das ist der Mann, den ich gut kenne.",1.0,0.8304443303979759
561,Das ist der Rechner meiner Mutter.,Це комп'ютер моєї мами.,Das ist der Rechner meiner Mutter.,1.0,0.8304443303979759
562,Das ist der wichtigste Grund.,Це найважливіша причина.,Das ist der wichtigste Grund.,1.0,0.8304443303979759
563,Das ist die Ansicht eines Dilettanten.,Це думка дилетанта.,Das ist die Ansicht eines Dilettanten.,1.0,0.8304443303979759
564,Das ist die einzige Möglichkeit.,Це єдина можливість.,Das ist die einzige Möglichkeit.,1.0,0.8304443303979759
565,Das ist die erste Reise meines Lebens.,Це перша подорож у моєму житті.,Das ist die erste Reise meines Lebens.,1.0,0.8304443303979759
566,Das ist die Kamera meiner Schwester.,Це фотоапарат моєї сестри.,Das ist die Kamera meiner Schwester.,1.0,0.8304443303979759
567,"Das ist doch nicht so einfach, wie ich dachte.","Це не так просто, як мені здавалося.","Das ist doch nicht so einfach, wie ich dachte.",1.0,0.8304443303979759
568,Das ist durchaus möglich.,Це цілком можливо.,Das ist durchaus möglich.,1.0,0.8304443303979759
569,Das ist ein Adverb.,Це прислівник.,Das ist ein Adverb.,1.0,0.8304443303979759
570,Das ist ein altes Gesetz.,Це стародавній закон.,Das ist ein altes Gesetz.,1.0,0.8304443303979759
571,Das ist ein Boot.,Це човен.,Das ist ein Boot.,1.0,0.8304443303979759
572,Das ist ein Buch über Fettleibigkeit.,Ця книга про ожиріння.,Das ist ein Buch über Fettleibigkeit.,1.0,0.8304443303979759
573,Das ist ein Buch über Sterne.,Ця книга про зірки.,Das ist ein Buch über Sterne.,1.0,0.8304443303979759
574,Das ist ein Buch über Tiere.,Ця книга про тварин.,Das ist ein Buch über Tiere.,1.0,0.8304443303979759
575,Das ist eine Ausnahme.,Це виняток.,Das ist eine Ausnahme.,1.0,0.8304443303979759
576,Das ist eine bewiesene Tatsache.,Це доведений факт.,Das ist eine bewiesene Tatsache.,1.0,0.8304443303979759
577,Das ist eine gute Antwort.,Це добра відповідь.,Das ist eine gute Antwort.,1.0,0.8304443303979759
578,Das ist eine gute Idee!,Це гарна ідея!,Das ist eine gute Idee!,1.0,0.8304443303979759
579,Das ist eine gute Regel.,Це хороше правило.,Das ist eine gute Regel.,1.0,0.8304443303979759
580,Das ist eine gute Schule.,Це хороша школа.,Das ist eine gute Schule.,1.0,0.8304443303979759
581,"Das ist eine gute Zeitung, stimmt's?","Це хороша газета, чи не так?","Das ist eine gute Zeitung, stimmt's?",1.0,0.8304443303979759
582,Das ist eine japanische Puppe.,Це японська лялька.,Das ist eine japanische Puppe.,1.0,0.8304443303979759
583,Das ist eine Katastrophe.,Це катастрофа.,Das ist eine Katastrophe.,1.0,0.8304443303979759
584,Das ist eine Kopie.,Це копія.,Das ist eine Kopie.,1.0,0.8304443303979759
585,Das ist eine lange Geschichte.,Це довга історія.,Das ist eine lange Geschichte.,1.0,0.8304443303979759
586,Das ist eine Lüge!,Це брехня!,Das ist eine Lüge!,1.0,0.8304443303979759
587,Das ist ein enormer Verlust.,Це величезна втрата.,Das ist ein enormer Verlust.,1.0,0.8304443303979759
588,Das ist eine schwere Anschuldigung.,Це дуже серйозне звинувачення.,Das ist eine schwere Anschuldigung.,1.0,0.8304443303979759
589,Das ist eine schwere Sprache.,Це тяжка мова.,Das ist eine schwere Sprache.,1.0,0.8304443303979759
590,Das ist eine sehr einfache Idee.,Це дуже проста ідея.,Das ist eine sehr einfache Idee.,1.0,0.8304443303979759
591,"Das ist eine sehr heimtückische Krankheit. Man bemerkt sie erst, wenn es zu spät ist.","Це дуже підступна хвороба. Ти її не помічаєш, допоки не стає запізно.","Das ist eine sehr heimtückische Krankheit. Man bemerkt sie erst, wenn es zu spät ist.",1.0,0.8304443303979759
592,Das ist eine sehr schöne Blume.,Це дуже гарна квітка.,Das ist eine sehr schöne Blume.,1.0,0.8304443303979759
593,Das ist eine Silbermünze.,Це срібна монета.,Das ist eine Silbermünze.,1.0,0.8304443303979759
594,Das ist eine tolle Idee.,Це чудова ідея.,Das ist eine tolle Idee.,1.0,0.8304443303979759
595,Das ist eine Überraschung.,Це сюрприз.,Das ist eine Überraschung.,1.0,0.8304443303979759
596,Das ist eine wichtige Frage.,Це важливе питання.,Das ist eine wichtige Frage.,1.0,0.8304443303979759
597,Das ist ein Foto meiner Schwester.,Це фотографія моєї сестри.,Das ist ein Foto meiner Schwester.,1.0,0.8304443303979759
598,Das ist ein Foto.,Це фотографія.,Das ist ein Foto.,1.0,0.8304443303979759
599,Das ist ein Geschenk für dich.,Це подарунок тобі.,Das ist ein Geschenk für dich.,1.0,0.8304443303979759
600,Das ist ein Geschenk für dich.,Це тобі подарунок.,Das ist ein Geschenk für dich.,1.0,0.8304443303979759
601,Das ist ein Geschenk für Sie.,Це подарунок вам.,Das ist ein Geschenk für Sie.,1.0,0.8304443303979759
602,Das ist ein Geschenk für Sie.,Це подарунок для вас.,Das ist ein Geschenk für Sie.,1.0,0.8304443303979759
603,Das ist ein Hotel.,Це готель.,Das ist ein Hotel.,1.0,0.8304443303979759
604,"Das ist ein kleiner Schritt für den Menschen, aber ein riesiger Sprung für die Menschheit.","Це маленький крок для людини, але величезний стрибок для людства.","Das ist ein kleiner Schritt für den Menschen, aber ein riesiger Sprung für die Menschheit.",1.0,0.8304443303979759
605,Das ist ein kleines Buch.,Це маленька книжка.,Das ist ein kleines Buch.,1.0,0.8304443303979759
606,Das ist ein Löwe.,Це лев.,Das ist ein Löwe.,1.0,0.8304443303979759
607,Das ist ein Pferd.,Це кінь.,Das ist ein Pferd.,1.0,0.8304443303979759
608,Das ist ein Problem.,Це проблема.,Das ist ein Problem.,1.0,0.8304443303979759
609,Das ist ein Riesenfehler.,Це величезна помилка.,Das ist ein Riesenfehler.,1.0,0.8304443303979759
610,Das ist ein rutschiger Abhang.,Це слизька доріжка.,Das ist ein rutschiger Abhang.,1.0,0.8304443303979759
611,Das ist ein Satz.,Це речення.,Das ist ein Satz.,1.0,0.8304443303979759
612,Das ist ein Schneemann.,Це сніговик.,Das ist ein Schneemann.,1.0,0.8304443303979759
613,Das ist ein schönes T-Shirt.,Це гарна футболка.,Das ist ein schönes T-Shirt.,1.0,0.8304443303979759
614,Das ist ein sehr nützliches Wörterbuch.,Це дуже корисний словник.,Das ist ein sehr nützliches Wörterbuch.,1.0,0.8304443303979759
615,Das ist ein Verbrechen.,Це злочин.,Das ist ein Verbrechen.,1.0,0.8304443303979759
616,Das ist ein ziemlich riskanter Beruf.,Це доволі ризикована робота.,Das ist ein ziemlich riskanter Beruf.,1.0,0.8304443303979759
617,Das ist entsetzlich teuer.,Це надзвичайно дорого.,Das ist entsetzlich teuer.,1.0,0.8304443303979759
618,Das ist Erpressung!,Це шантаж.,Das ist Erpressung!,1.2213386697554703e-77,0.8304443303979759
619,Das ist er.,Це він.,Das ist er.,1.2213386697554703e-77,0.8304443303979759
620,Das ist etwas anderes.,То інша справа.,Das ist etwas anderes.,1.0,0.8304443303979759
621,Das ist etwas anderes.,Це інша справа.,Das ist etwas anderes.,1.0,0.8304443303979759
622,Das ist eure Entscheidung.,Це ваше рішення.,Das ist eure Entscheidung.,1.0,0.8304443303979759
623,Das ist Fleisch.,Це м'ясо.,Das ist Fleisch.,1.2213386697554703e-77,0.8304443303979759
624,Das ist für dich.,Це тобі.,Das ist für dich.,1.0,0.8304443303979759
625,Das ist für jetzt genug.,На даний момент досить.,Das ist für jetzt genug.,1.0,0.8304443303979759
626,Das ist für jetzt genug.,Поки що вистачить.,Das ist für jetzt genug.,1.0,0.8304443303979759
627,Das ist für Sie.,Це вам.,Das ist für Sie.,1.0,0.8304443303979759
628,Das ist gar nicht so übel!,Це не так вже й погано!,Das ist gar nicht so übel!,1.0,0.8304443303979759
629,Das ist gefährlich.,Це небезпечно.,Das ist gefährlich.,1.2213386697554703e-77,0.8304443303979759
630,"Das ist genau das Buch, wonach ich gesucht habe.","Це саме та книга, яку я шукав.","Das ist genau das Buch, wonach ich gesucht habe.",1.0,0.8304443303979759
631,"Das ist genau die Uhr, die ich letzte Woche verloren habe.","Це той самий годинник, що я загубив тиждень тому.","Das ist genau die Uhr, die ich letzte Woche verloren habe.",1.0,0.8304443303979759
632,"Das ist genug für heute, ich bin müde.","На сьогодні досить, я втомився.","Das ist genug für heute, ich bin müde.",1.0,0.8304443303979759
633,Das ist gerechtfertigt.,Ци виправдано.,Das ist gerechtfertigt.,1.2213386697554703e-77,0.8304443303979759
634,Das ist Gift.,Це отрута.,Das ist Gift.,1.2213386697554703e-77,0.8304443303979759
635,Das ist Herr Pedro.,Це пан Педро.,Das ist Herr Pedro.,1.0,0.8304443303979759
636,Das ist ihr Buch.,Це їхня книжка.,Das ist ihr Buch.,1.0,0.8304443303979759
637,Das ist Ihre Entscheidung.,Це ваше рішення.,Das ist Ihre Entscheidung.,1.0,0.8304443303979759
638,Das ist Ihr Problem.,Це ваша проблема.,Das ist Ihr Problem.,1.0,0.8304443303979759
639,Das ist illegal.,Це незаконно.,Das ist illegal.,1.2213386697554703e-77,0.8304443303979759
640,Das ist kein Apfelsinenbaum.,Це не апельсинове дерево.,Das ist kein Apfelsinenbaum.,1.0,0.8304443303979759
641,Das ist kein Blut. Das ist Rote Bete.,Це не кров. Це буряк.,Das ist kein Blut. Das ist Rote Bete.,1.0,0.8304443303979759
642,"Das ist keine Schlange, sondern nur ein Stück Seil.",Це не змія. Це всього лише шматок мотузки.,"Das ist keine Schlange, sondern nur ein Stück Seil.",1.0,0.8304443303979759
643,Das ist kein Essen.,Це не їжа.,Das ist kein Essen.,1.0,0.8304443303979759
644,Das ist keine zufällige Fügung.,Це не збіг обставин.,Das ist keine zufällige Fügung.,1.0,0.8304443303979759
645,"Das ist kein Hebräisch, sondern Jiddisch.",Це не іврит. Це ідиш.,"Das ist kein Hebräisch, sondern Jiddisch.",1.0,0.8304443303979759
646,Das ist kein Irrtum.,Це не помилка.,Das ist kein Irrtum.,1.0,0.8304443303979759
647,Das ist kein Salz.,Це не сіль.,Das ist kein Salz.,1.0,0.8304443303979759
648,Das ist kein Schwein; das ist ein Affe.,Це не свиня; це мавпа.,Das ist kein Schwein; das ist ein Affe.,1.0,0.8304443303979759
649,Das ist kein Spielzeug!,Це не іграшка!,Das ist kein Spielzeug!,1.0,0.8304443303979759
650,Das ist kein Spiel!,Це не гра.,Das ist kein Spiel!,1.0,0.8304443303979759
651,Das ist kein Tiger.,Це не тигр.,Das ist kein Tiger.,1.0,0.8304443303979759
652,Das ist kein Trinkwasser.,Це непитна вода.,Das ist kein Trinkwasser.,1.0,0.8304443303979759
653,Das ist kein Trinkwasser.,Ця вода непитна.,Das ist kein Trinkwasser.,1.0,0.8304443303979759
654,Das ist kinderleicht!,Це дуже легко!,Das ist kinderleicht!,1.2213386697554703e-77,0.8304443303979759
655,Das ist komisch.,Це кумедно.,Das ist komisch.,1.2213386697554703e-77,0.8304443303979759
656,Das ist leichter gesagt als getan.,"Простіше сказати, ніж зробити.",Das ist leichter gesagt als getan.,1.0,0.8304443303979759
657,Das ist leicht.,Це легко.,Das ist leicht.,1.2213386697554703e-77,0.8304443303979759
658,Das ist lustig.,Це кумедно.,Das ist lustig.,1.2213386697554703e-77,0.8304443303979759
659,Das ist mein Bruder Tom.,Це мій брат Том.,Das ist mein Bruder Tom.,1.0,0.8304443303979759
660,Das ist meine Angelegenheit.,Це моя справа.,Das ist meine Angelegenheit.,1.0,0.8304443303979759
661,Das ist meine CD.,Це мій диск.,Das ist meine CD.,1.0,0.8304443303979759
662,Das ist meine Geschäftsadresse.,Це моя рабоча адреса.,Das ist meine Geschäftsadresse.,1.0,0.8304443303979759
663,Das ist meine Großmutter.,Це моя бабуся.,Das ist meine Großmutter.,1.0,0.8304443303979759
664,Das ist meine Hose.,Це мої штани.,Das ist meine Hose.,1.0,0.8304443303979759
665,Das ist meine Idee.,Це моя ідея.,Das ist meine Idee.,1.0,0.8304443303979759
