Unnamed: 0,de,uk,TRANSLATION,chrf_score
517,Das hat mich gerettet.,Це мене врятувало.,Das hat mich gerettet.,100.0
518,Das hat nichts mit euch zu tun.,Це не має до вас жодного відношення.,Das hat nichts mit euch zu tun.,100.0
519,Das hat nichts mit euch zu tun.,Це не має до вас жодного стосунку.,Das hat nichts mit euch zu tun.,100.0
520,Das hat nichts mit Ihnen zu tun.,Це не має до вас жодного відношення.,Das hat nichts mit Ihnen zu tun.,100.0
521,Das hat niemand von uns vor.,Ніхто з нас не планує це зробити.,Das hat niemand von uns vor.,100.0
522,Das hätte ich beinahe vergessen.,Я мало не забув цього зробити.,Das hätte ich beinahe vergessen.,100.0
523,Das hat Tom gar nicht gesagt.,Том цього не казав.,Das hat Tom gar nicht gesagt.,100.0
524,Das Haus brennt.,Дім горить!,Das Haus brennt.,100.0
525,"Das Haus ist komplett abgebrannt, bevor die Feuerwehr kam.","До того часу, як приїхала пожежна бригада, весь будинок згорів.","Das Haus ist komplett abgebrannt, bevor die Feuerwehr kam.",100.0
526,Das Haus ist rot.,Будинок червоний.,Das Haus ist rot.,100.0
527,Das Haus war leer bis auf eine Katze.,"Будинок був пустим, за винятком кота.",Das Haus war leer bis auf eine Katze.,100.0
528,Das Haus wurde durch Feuer zerstört.,Будинок був зруйнований вогнем.,Das Haus wurde durch Feuer zerstört.,100.0
529,Das Heidentum ist viel näher an der Natur als das Christentum.,"Язичництво набагато ближче до природи, ніж християнство.",Das Heidentum ist viel näher an der Natur als das Christentum.,100.0
530,Das hier ergibt keinen Sinn.,Це без сенсу.,Das hier ergibt keinen Sinn.,100.0
531,Das hier ergibt keinen Sinn.,Це не має сенсу.,Das hier ergibt keinen Sinn.,100.0
532,"Das hier ist haargenau das Buch, nach dem ich suchte.","Це саме та книга, яку я шукав.","Das hier ist haargenau das Buch, nach dem ich suchte.",100.0
533,Das hier ist mein Bruder Tom.,Це мій брат Том.,Das hier ist mein Bruder Tom.,100.0
534,Das hoffe ich.,"Сподіваюся, що так.",Das hoffe ich.,100.0
535,Das hoffe ich.,Я на це сподіваюся.,Das hoffe ich.,100.0
536,Das interessiert mich nicht.,Це мене не цікавить.,Das interessiert mich nicht.,100.0
537,Das ist alles deine Schuld!,Це все твоя вина.,Das ist alles deine Schuld!,100.0
538,Das ist alles deine Schuld!,Це все твоя провина.,Das ist alles deine Schuld!,100.0
539,"Das ist alles, was ich versprechen kann.","Це все, що я можу пообіцяти.","Das ist alles, was ich versprechen kann.",100.0
540,Das ist alles?,Це все?,Das ist alles?,100.0
541,Das ist auch wahr.,Це також вірно.,Das ist auch wahr.,100.0
542,Das ist auf meinem Mist gewachsen.,Це була моя ідея.,Das ist auf meinem Mist gewachsen.,100.0
543,Das ist bequem.,Зручно.,Das ist bequem.,100.0
544,"Das ist besser, oder?","Так краще, так?","Das ist besser, oder?",100.0
545,Das ist besser.,Так краще.,Das ist besser.,100.0
546,Das ist besser.,Так ліпше.,Das ist besser.,100.0
547,Das ist Copacabana!,Це Копакабана!,Das ist Copacabana!,100.0
548,"Das ist das Dümmste, was ich je gesagt habe.","Це найбільша нісенітниця, яку я коли-небудь казав.","Das ist das Dümmste, was ich je gesagt habe.",100.0
549,Das ist das Interessanteste.,Це саме цікаве.,Das ist das Interessanteste.,100.0
550,Das ist das letzte Mal.,Це в останній раз.,Das ist das letzte Mal.,100.0
551,Das ist dein Buch.,Це твоя книжка.,Das ist dein Buch.,100.0
552,Das ist deine Aufgabe.,Це твоя робота.,Das ist deine Aufgabe.,100.0
553,Das ist dein Hauptproblem.,Це твоя головна проблема.,Das ist dein Hauptproblem.,100.0
554,"Das ist dein Hut, oder?","Це твій капелюх, так?","Das ist dein Hut, oder?",100.0
555,Das ist dein Platz.,Це твоє місце.,Das ist dein Platz.,100.0
556,Das ist deins.,Це твій.,Das ist deins.,100.0
557,"Das ist der Grund, weshalb ich herkam.","Це і є причина, чому я сюди прийшов.","Das ist der Grund, weshalb ich herkam.",100.0
558,Das ist der heißeste Sommer seit 50 Jahren.,Це найспекотніше літо за п’ятдесят років.,Das ist der heißeste Sommer seit 50 Jahren.,100.0
559,Das ist der letzte Zug.,Це останній потяг.,Das ist der letzte Zug.,100.0
560,"Das ist der Mann, den ich gut kenne.","Це людина, яку я добре знаю.","Das ist der Mann, den ich gut kenne.",100.0
561,Das ist der Rechner meiner Mutter.,Це комп'ютер моєї мами.,Das ist der Rechner meiner Mutter.,100.0
562,Das ist der wichtigste Grund.,Це найважливіша причина.,Das ist der wichtigste Grund.,100.0
563,Das ist die Ansicht eines Dilettanten.,Це думка дилетанта.,Das ist die Ansicht eines Dilettanten.,100.0
564,Das ist die einzige Möglichkeit.,Це єдина можливість.,Das ist die einzige Möglichkeit.,100.0
565,Das ist die erste Reise meines Lebens.,Це перша подорож у моєму житті.,Das ist die erste Reise meines Lebens.,100.0
566,Das ist die Kamera meiner Schwester.,Це фотоапарат моєї сестри.,Das ist die Kamera meiner Schwester.,100.0
567,"Das ist doch nicht so einfach, wie ich dachte.","Це не так просто, як мені здавалося.","Das ist doch nicht so einfach, wie ich dachte.",100.0
568,Das ist durchaus möglich.,Це цілком можливо.,Das ist durchaus möglich.,100.0
569,Das ist ein Adverb.,Це прислівник.,Das ist ein Adverb.,100.0
570,Das ist ein altes Gesetz.,Це стародавній закон.,Das ist ein altes Gesetz.,100.0
571,Das ist ein Boot.,Це човен.,Das ist ein Boot.,100.0
572,Das ist ein Buch über Fettleibigkeit.,Ця книга про ожиріння.,Das ist ein Buch über Fettleibigkeit.,100.0
573,Das ist ein Buch über Sterne.,Ця книга про зірки.,Das ist ein Buch über Sterne.,100.0
574,Das ist ein Buch über Tiere.,Ця книга про тварин.,Das ist ein Buch über Tiere.,100.0
575,Das ist eine Ausnahme.,Це виняток.,Das ist eine Ausnahme.,100.0
576,Das ist eine bewiesene Tatsache.,Це доведений факт.,Das ist eine bewiesene Tatsache.,100.0
577,Das ist eine gute Antwort.,Це добра відповідь.,Das ist eine gute Antwort.,100.0
578,Das ist eine gute Idee!,Це гарна ідея!,Das ist eine gute Idee!,100.0
579,Das ist eine gute Regel.,Це хороше правило.,Das ist eine gute Regel.,100.0
580,Das ist eine gute Schule.,Це хороша школа.,Das ist eine gute Schule.,100.0
581,"Das ist eine gute Zeitung, stimmt's?","Це хороша газета, чи не так?","Das ist eine gute Zeitung, stimmt's?",100.0
582,Das ist eine japanische Puppe.,Це японська лялька.,Das ist eine japanische Puppe.,100.0
583,Das ist eine Katastrophe.,Це катастрофа.,Das ist eine Katastrophe.,100.0
584,Das ist eine Kopie.,Це копія.,Das ist eine Kopie.,100.0
585,Das ist eine lange Geschichte.,Це довга історія.,Das ist eine lange Geschichte.,100.0
586,Das ist eine Lüge!,Це брехня!,Das ist eine Lüge!,100.0
587,Das ist ein enormer Verlust.,Це величезна втрата.,Das ist ein enormer Verlust.,100.0
588,Das ist eine schwere Anschuldigung.,Це дуже серйозне звинувачення.,Das ist eine schwere Anschuldigung.,100.0
589,Das ist eine schwere Sprache.,Це тяжка мова.,Das ist eine schwere Sprache.,100.0
590,Das ist eine sehr einfache Idee.,Це дуже проста ідея.,Das ist eine sehr einfache Idee.,100.0
591,"Das ist eine sehr heimtückische Krankheit. Man bemerkt sie erst, wenn es zu spät ist.","Це дуже підступна хвороба. Ти її не помічаєш, допоки не стає запізно.","Das ist eine sehr heimtückische Krankheit. Man bemerkt sie erst, wenn es zu spät ist.",100.0
592,Das ist eine sehr schöne Blume.,Це дуже гарна квітка.,Das ist eine sehr schöne Blume.,100.0
593,Das ist eine Silbermünze.,Це срібна монета.,Das ist eine Silbermünze.,100.0
594,Das ist eine tolle Idee.,Це чудова ідея.,Das ist eine tolle Idee.,100.0
595,Das ist eine Überraschung.,Це сюрприз.,Das ist eine Überraschung.,100.0
596,Das ist eine wichtige Frage.,Це важливе питання.,Das ist eine wichtige Frage.,100.0
597,Das ist ein Foto meiner Schwester.,Це фотографія моєї сестри.,Das ist ein Foto meiner Schwester.,100.0
598,Das ist ein Foto.,Це фотографія.,Das ist ein Foto.,100.0
599,Das ist ein Geschenk für dich.,Це подарунок тобі.,Das ist ein Geschenk für dich.,100.0
600,Das ist ein Geschenk für dich.,Це тобі подарунок.,Das ist ein Geschenk für dich.,100.0
601,Das ist ein Geschenk für Sie.,Це подарунок вам.,Das ist ein Geschenk für Sie.,100.0
602,Das ist ein Geschenk für Sie.,Це подарунок для вас.,Das ist ein Geschenk für Sie.,100.0
603,Das ist ein Hotel.,Це готель.,Das ist ein Hotel.,100.0
604,"Das ist ein kleiner Schritt für den Menschen, aber ein riesiger Sprung für die Menschheit.","Це маленький крок для людини, але величезний стрибок для людства.","Das ist ein kleiner Schritt für den Menschen, aber ein riesiger Sprung für die Menschheit.",100.0
605,Das ist ein kleines Buch.,Це маленька книжка.,Das ist ein kleines Buch.,100.0
606,Das ist ein Löwe.,Це лев.,Das ist ein Löwe.,100.0
607,Das ist ein Pferd.,Це кінь.,Das ist ein Pferd.,100.0
608,Das ist ein Problem.,Це проблема.,Das ist ein Problem.,100.0
609,Das ist ein Riesenfehler.,Це величезна помилка.,Das ist ein Riesenfehler.,100.0
610,Das ist ein rutschiger Abhang.,Це слизька доріжка.,Das ist ein rutschiger Abhang.,100.0
611,Das ist ein Satz.,Це речення.,Das ist ein Satz.,100.0
612,Das ist ein Schneemann.,Це сніговик.,Das ist ein Schneemann.,100.0
613,Das ist ein schönes T-Shirt.,Це гарна футболка.,Das ist ein schönes T-Shirt.,100.0
614,Das ist ein sehr nützliches Wörterbuch.,Це дуже корисний словник.,Das ist ein sehr nützliches Wörterbuch.,100.0
615,Das ist ein Verbrechen.,Це злочин.,Das ist ein Verbrechen.,100.0
616,Das ist ein ziemlich riskanter Beruf.,Це доволі ризикована робота.,Das ist ein ziemlich riskanter Beruf.,100.0
617,Das ist entsetzlich teuer.,Це надзвичайно дорого.,Das ist entsetzlich teuer.,100.0
618,Das ist Erpressung!,Це шантаж.,Das ist Erpressung!,100.0
619,Das ist er.,Це він.,Das ist er.,100.0
620,Das ist etwas anderes.,То інша справа.,Das ist etwas anderes.,100.0
621,Das ist etwas anderes.,Це інша справа.,Das ist etwas anderes.,100.0
622,Das ist eure Entscheidung.,Це ваше рішення.,Das ist eure Entscheidung.,100.0
623,Das ist Fleisch.,Це м'ясо.,Das ist Fleisch.,100.0
624,Das ist für dich.,Це тобі.,Das ist für dich.,100.0
625,Das ist für jetzt genug.,На даний момент досить.,Das ist für jetzt genug.,100.0
626,Das ist für jetzt genug.,Поки що вистачить.,Das ist für jetzt genug.,100.0
627,Das ist für Sie.,Це вам.,Das ist für Sie.,100.0
628,Das ist gar nicht so übel!,Це не так вже й погано!,Das ist gar nicht so übel!,100.0
629,Das ist gefährlich.,Це небезпечно.,Das ist gefährlich.,100.0
630,"Das ist genau das Buch, wonach ich gesucht habe.","Це саме та книга, яку я шукав.","Das ist genau das Buch, wonach ich gesucht habe.",100.0
631,"Das ist genau die Uhr, die ich letzte Woche verloren habe.","Це той самий годинник, що я загубив тиждень тому.","Das ist genau die Uhr, die ich letzte Woche verloren habe.",100.0
632,"Das ist genug für heute, ich bin müde.","На сьогодні досить, я втомився.","Das ist genug für heute, ich bin müde.",100.0
633,Das ist gerechtfertigt.,Ци виправдано.,Das ist gerechtfertigt.,100.0
634,Das ist Gift.,Це отрута.,Das ist Gift.,100.0
635,Das ist Herr Pedro.,Це пан Педро.,Das ist Herr Pedro.,100.0
636,Das ist ihr Buch.,Це їхня книжка.,Das ist ihr Buch.,100.0
637,Das ist Ihre Entscheidung.,Це ваше рішення.,Das ist Ihre Entscheidung.,100.0
638,Das ist Ihr Problem.,Це ваша проблема.,Das ist Ihr Problem.,100.0
639,Das ist illegal.,Це незаконно.,Das ist illegal.,100.0
640,Das ist kein Apfelsinenbaum.,Це не апельсинове дерево.,Das ist kein Apfelsinenbaum.,100.0
641,Das ist kein Blut. Das ist Rote Bete.,Це не кров. Це буряк.,Das ist kein Blut. Das ist Rote Bete.,100.0
642,"Das ist keine Schlange, sondern nur ein Stück Seil.",Це не змія. Це всього лише шматок мотузки.,"Das ist keine Schlange, sondern nur ein Stück Seil.",100.0
643,Das ist kein Essen.,Це не їжа.,Das ist kein Essen.,100.0
644,Das ist keine zufällige Fügung.,Це не збіг обставин.,Das ist keine zufällige Fügung.,100.0
645,"Das ist kein Hebräisch, sondern Jiddisch.",Це не іврит. Це ідиш.,"Das ist kein Hebräisch, sondern Jiddisch.",100.0
646,Das ist kein Irrtum.,Це не помилка.,Das ist kein Irrtum.,100.0
647,Das ist kein Salz.,Це не сіль.,Das ist kein Salz.,100.0
648,Das ist kein Schwein; das ist ein Affe.,Це не свиня; це мавпа.,Das ist kein Schwein; das ist ein Affe.,100.0
649,Das ist kein Spielzeug!,Це не іграшка!,Das ist kein Spielzeug!,100.0
650,Das ist kein Spiel!,Це не гра.,Das ist kein Spiel!,100.0
651,Das ist kein Tiger.,Це не тигр.,Das ist kein Tiger.,100.0
652,Das ist kein Trinkwasser.,Це непитна вода.,Das ist kein Trinkwasser.,100.0
653,Das ist kein Trinkwasser.,Ця вода непитна.,Das ist kein Trinkwasser.,100.0
654,Das ist kinderleicht!,Це дуже легко!,Das ist kinderleicht!,100.0
655,Das ist komisch.,Це кумедно.,Das ist komisch.,100.0
656,Das ist leichter gesagt als getan.,"Простіше сказати, ніж зробити.",Das ist leichter gesagt als getan.,100.0
657,Das ist leicht.,Це легко.,Das ist leicht.,100.0
658,Das ist lustig.,Це кумедно.,Das ist lustig.,100.0
659,Das ist mein Bruder Tom.,Це мій брат Том.,Das ist mein Bruder Tom.,100.0
660,Das ist meine Angelegenheit.,Це моя справа.,Das ist meine Angelegenheit.,100.0
661,Das ist meine CD.,Це мій диск.,Das ist meine CD.,100.0
662,Das ist meine Geschäftsadresse.,Це моя рабоча адреса.,Das ist meine Geschäftsadresse.,100.0
663,Das ist meine Großmutter.,Це моя бабуся.,Das ist meine Großmutter.,100.0
664,Das ist meine Hose.,Це мої штани.,Das ist meine Hose.,100.0
665,Das ist meine Idee.,Це моя ідея.,Das ist meine Idee.,100.0
666,Das ist meine Küche.,Це моя кухня.,Das ist meine Küche.,100.0
667,Das ist meine Lieblingsband.,Це моя улюблена група.,Das ist meine Lieblingsband.,100.0
668,Das ist meine Postleitzahl.,Це мій поштовий індекс.,Das ist meine Postleitzahl.,100.0
669,"Das ist mein erster Flug. Ich bin nervös, sagt Hiroshi.","Це мій перший політ. Я нервуюся, - каже Хіросі.","Das ist mein erster Flug. Ich bin nervös, sagt Hiroshi.",100.0
670,Das ist meine Schwester Maria.,Це моя сестра Мері.,Das ist meine Schwester Maria.,100.0
671,Das ist meine Schwester. Sie heißt Julia.,Це моя сестра. Її звати Юля.,Das ist meine Schwester. Sie heißt Julia.,100.0
672,Das ist meine Schwester.,Це моя сестра.,Das ist meine Schwester.,100.0
673,Das ist meine Uhr.,Цей годинник мій.,Das ist meine Uhr.,100.0
674,Das ist mein Fahrrad.,Це мій велосипед.,Das ist mein Fahrrad.,100.0
675,Das ist mein Freund Tom.,Це мій друг Том.,Das ist mein Freund Tom.,100.0
676,Das ist mein Geld.,Це мої гроші.,Das ist mein Geld.,100.0
677,Das ist mein letztes Wort.,Це моя остаточна відповідь.,Das ist mein letztes Wort.,100.0
678,Das ist mein Lieblingsgericht.,Це моя улюблена страва.,Das ist mein Lieblingsgericht.,100.0
679,Das ist mein Lieblingslied.,Це моя улюблена пісня.,Das ist mein Lieblingslied.,100.0
680,Das ist mein Lieblingsstuhl.,Це мій улюблений стілець.,Das ist mein Lieblingsstuhl.,100.0
681,Das ist mein Lied!,Це моя пісня!,Das ist mein Lied!,100.0
682,Das ist mein Schlafzimmer.,Це моя спальня.,Das ist mein Schlafzimmer.,100.0
683,Das ist mir egal.,Я не заперечую.,Das ist mir egal.,100.0
684,Das ist mir völlig egal!,Мені цілком байдуже!,Das ist mir völlig egal!,100.0
685,Das ist nicht das einzige Problem.,Це не єдина проблема.,Das ist nicht das einzige Problem.,100.0
686,"Das ist nicht das, was ich bestellt habe.",Я не це замовляла.,"Das ist nicht das, was ich bestellt habe.",100.0
687,Das ist nicht immer der Fall.,Це не завжди так.,Das ist nicht immer der Fall.,100.0
688,Das ist nicht komisch.,Це не смішно.,Das ist nicht komisch.,100.0
689,Das ist nicht legal.,Це незаконно.,Das ist nicht legal.,100.0
690,Das ist nicht logisch.,Це нелогічно.,Das ist nicht logisch.,100.0
691,"Das ist nicht meine Meinung, nur meine Übersetzung!","Це не моя точка зору, а лише мій переклад!","Das ist nicht meine Meinung, nur meine Übersetzung!",100.0
692,"Das ist nicht mein Haus, nein.","Ні, це не мій будинок.","Das ist nicht mein Haus, nein.",100.0
693,Das ist nicht möglich!,Це неможливо!,Das ist nicht möglich!,100.0
694,Das ist nichts für dich.,Це не тобі.,Das ist nichts für dich.,100.0
695,Das ist nicht sicher.,Це не є безпечним.,Das ist nicht sicher.,100.0
696,"Das ist nichts, was jeder Beliebige tun kann.","Це не те, що може зробити кожен.","Das ist nichts, was jeder Beliebige tun kann.",100.0
697,Das ist nicht Tom.,Це не Том.,Das ist nicht Tom.,100.0
698,Das ist nicht unmöglich.,Це не неможливо.,Das ist nicht unmöglich.,100.0
699,Das ist nicht verkäuflich.,Це не на продаж.,Das ist nicht verkäuflich.,100.0
700,"Das ist nicht, was ich bestellt habe.",Я не це замовляв.,"Das ist nicht, was ich bestellt habe.",100.0
701,"Das ist nicht, was ich bestellt habe.",Я не це замовляла.,"Das ist nicht, was ich bestellt habe.",100.0
702,Das ist nicht wichtig.,Це не має значення.,Das ist nicht wichtig.,100.0
703,Das ist nicht zum Lachen!,Це не смішно!,Das ist nicht zum Lachen!,100.0
704,Das ist nicht zum Lachen!,Це не смішно.,Das ist nicht zum Lachen!,100.0
705,Das ist nur ein Placebo.,Це лише плацебо.,Das ist nur ein Placebo.,100.0
706,Das ist original.,Оригінально.,Das ist original.,100.0
707,Das ist reine Zeitverschwendung.,Це тільки даремна трата часу.,Das ist reine Zeitverschwendung.,100.0
708,Das ist richtig!,Вірно!,Das ist richtig!,100.0
709,Das ist Sabotage.,Це саботаж.,Das ist Sabotage.,100.0
710,Das ist schon aus der Mode.,Це вже не в моді.,Das ist schon aus der Mode.,100.0
711,Das ist sehr großzügig von Ihnen.,Це дуже великодушно з вашого боку.,Das ist sehr großzügig von Ihnen.,100.0
712,Das ist sehr schlecht.,Це дуже погано.,Das ist sehr schlecht.,100.0
713,Das ist sehr teuer.,Це надзвичайно дорого.,Das ist sehr teuer.,100.0
714,Das ist sehr unprofessionell.,Це дуже непрофесійно.,Das ist sehr unprofessionell.,100.0
715,Das ist sein Auto.,Це його машина.,Das ist sein Auto.,100.0
716,Das ist seine Formel.,Це його формула.,Das ist seine Formel.,100.0
717,Das ist seine Meinung.,Це його думка.,Das ist seine Meinung.,100.0
718,Das ist sein Haus.,Цей будинок належить йому.,Das ist sein Haus.,100.0
719,Das ist sein Pferd.,Це її кінь.,Das ist sein Pferd.,100.0
720,Das ist sein Pferd.,Це його кінь.,Das ist sein Pferd.,100.0
721,Das ist so klar wie Kloßbrühe.,Це ясно як божий день.,Das ist so klar wie Kloßbrühe.,100.0
722,Das ist so langweilig.,Це так нудно.,Das ist so langweilig.,100.0
723,"Das ist Tom, mein Kollege.","Це Том, мій колега.","Das ist Tom, mein Kollege.",100.0
724,Das ist Toms Familie.,Це родина Тома.,Das ist Toms Familie.,100.0
725,Das ist Toms Job.,Це робота Тома.,Das ist Toms Job.,100.0
726,Das ist Toms Schirm.,Це парасолька Тома.,Das ist Toms Schirm.,100.0
727,Das ist Toms Vater.,Це тато Тома.,Das ist Toms Vater.,100.0
728,Das ist Tom.,Це Том.,Das ist Tom.,100.0
729,Das ist ungewöhnlich.,Це незвично.,Das ist ungewöhnlich.,100.0
730,Das ist unmöglich.,Це неможливо.,Das ist unmöglich.,100.0
731,Das ist unser Auto.,Це наша машина.,Das ist unser Auto.,100.0
732,Das ist unser Baseballplatz.,Це наше бейсбольне поле.,Das ist unser Baseballplatz.,100.0
733,Das ist unsere Chance.,Це наш шанс.,Das ist unsere Chance.,100.0
734,Das ist unsere Schule.,Це наша школа.,Das ist unsere Schule.,100.0
735,Das ist verständlich.,Це зрозуміло.,Das ist verständlich.,100.0
736,Das ist völlig verständlich.,Це цілком зрозуміло.,Das ist völlig verständlich.,100.0
737,Das ist von meinem Vater.,Це належить батьку.,Das ist von meinem Vater.,100.0
738,Das ist von Tom.,Це від Тома.,Das ist von Tom.,100.0
739,Das ist vor drei Tagen passiert.,Це було три дні тому.,Das ist vor drei Tagen passiert.,100.0
740,Das ist Wasser.,Це вода.,Das ist Wasser.,100.0
741,Das ist wirklich eine nette Überraschung!,Це насправді добрий сюрприз!,Das ist wirklich eine nette Überraschung!,100.0
742,Das ist wirklich großartig!,Це дивовижно!,Das ist wirklich großartig!,100.0
743,Das ist wirklich traurig.,Це справді сумно.,Das ist wirklich traurig.,100.0
744,Das ist zu teuer.,Це задорого!,Das ist zu teuer.,100.0
745,Das ist zu teuer!,Це занадто дорого!,Das ist zu teuer!,100.0
746,Das ist zu teuer.,Це занадто дорого!,Das ist zu teuer.,100.0
747,Das Jobangebot steht noch.,Пропозиція роботи ще в силі.,Das Jobangebot steht noch.,100.0
748,Das kann jeder.,Будь-хто може це зробити.,Das kann jeder.,100.0
749,Das kann jeder.,Кожен може це зробити.,Das kann jeder.,100.0
750,Das kann man in jedem Wörterbuch nachsehen.,Це є в будь-якому словнику.,Das kann man in jedem Wörterbuch nachsehen.,100.0
751,Das kann nur sie sein.,Це може бути лише вона.,Das kann nur sie sein.,100.0
752,Das kannst du nicht machen.,Не можна цього робити.,Das kannst du nicht machen.,100.0
753,Das Kind folgte mir zum Park.,Дитина пішла за мною до парку.,Das Kind folgte mir zum Park.,100.0
754,Das klingt vernünftig.,Звучить резонно.,Das klingt vernünftig.,100.0
755,Das klippklar.,Це ясно як божий день.,Das klippklar.,100.0
756,Das Klopapier ist alle!,Закінчився туалетний папір!,Das Klopapier ist alle!,100.0
757,Das kommt auf den Zusammenhang an.,Це залежить від контексту.,Das kommt auf den Zusammenhang an.,100.0
758,Das kommt mir spanisch vor.,Для мене це китайська грамота.,Das kommt mir spanisch vor.,100.0
759,Das könnte dich vielleicht interessieren.,Це може тебе зацікавити.,Das könnte dich vielleicht interessieren.,100.0
760,Das Konzert fängt gleich an.,Концерт скоро розпочнеться.,Das Konzert fängt gleich an.,100.0
761,Das Konzert war ein Erfolg.,Концерт мав успіх.,Das Konzert war ein Erfolg.,100.0
762,Das Land braucht eure Hilfe.,Країні потрібна ваша допомога.,Das Land braucht eure Hilfe.,100.0
763,Das Land braucht Ihre Hilfe.,Країні потрібна ваша допомога.,Das Land braucht Ihre Hilfe.,100.0
764,Das Land erklärte seine Unabhängigkeit am 7. September 1822.,Країна проголосила незалежність сьомого вересня тисяча вісімсот двадцять другого року.,Das Land erklärte seine Unabhängigkeit am 7. September 1822.,100.0
765,Das Laub des Baumes wurde gelb.,Листя на дереві пожовтіло.,Das Laub des Baumes wurde gelb.,100.0
766,Das Leben geht weiter.,Життя триває.,Das Leben geht weiter.,100.0
767,Das Leben ist gut.,Життя добре.,Das Leben ist gut.,100.0
768,Das Leben ist interessant.,Життя цікаве.,Das Leben ist цікаво.,45.48390610324239
769,Das Leben ist nicht gerecht.,Життя несправедливе.,Das Leben ist nicht gerecht.,100.0
770,"Das Leben ist nicht lang, es ist breit!","Життя не довге, воно широке!","Das Leben ist nicht lang, es ist breit!",100.0
771,Das Leben ist schwer.,Життя важке.,Das Leben ist schwer.,100.0
772,Das Leben ist sehr kurz.,Життя дуже коротке.,Das Leben ist sehr kurz.,100.0
773,Das Leben ist voller Abenteuer.,Життя є повне пригод.,Das Leben ist voller Abenteuer.,100.0
774,"Das Leben ist zu kurz, um Deutsch zu lernen.","Життя занадто коротке, щоб вивчати німецьку.","Das Leben ist zu kurz, um Deutsch zu lernen.",100.0
775,"Das Leben ist zu kurz, um Deutsch zu lernen.","Життя занадто коротке, щоб вивчити німецьку.","Das Leben ist zu kurz, um Deutsch zu lernen.",100.0
776,Das Lesen von Romanen ist mein Hobby.,Моє хобі - читання романів.,Das Lesen von Romanen ist mein Hobby.,100.0
777,Das Licht ist aus.,Світло вимкнене.,Das Licht ist aus.,100.0
778,Das Licht ist aus.,Світло не горить.,Das Licht ist aus.,100.0
779,Das machst du doch mit Absicht!,Ти робиш це навмисно!,Das machst du doch mit Absicht!,100.0
780,Das macht mir keine Sorgen.,Я про це не турбуюся.,Das macht mir keine Sorgen.,100.0
781,Das macht neugierig.,Це цікаво.,Das macht neugierig.,100.0
782,"Das Mädchen ging zur Schule, obwohl sie krank war.","Дівчинка пішла до школи, незважаючи на хворобу.","Das Mädchen ging zur Schule, obwohl sie krank war.",100.0
783,Das Mädchen half dem Jungen.,Дівчина допомогла хлопцю.,Das Mädchen half dem Jungen.,100.0
784,Das Mädchen hat dem Jungen geholfen.,Дівчина допомогла хлопцю.,Das Mädchen hat dem Jungen geholfen.,100.0
785,Das Mädchen hat dem Jungen geholfen.,Дівчина допомогла хлочику.,Das Mädchen hat dem Jungen geholfen.,100.0
786,Das Mädchen hatte Angst vor ihrem eigenen Schatten.,Дівчинка боялася власної тіні.,Das Mädchen hatte Angst vor ihrem eigenen Schatten.,100.0
787,Das Mädchen ist einsam.,Дівчина самотня.,Das Mädchen ist einsam.,100.0
788,Das Mädchen ist hübsch.,Дівчина гарна.,Das Mädchen ist hübsch.,100.0
789,Das Mädchen ist klein für sein Alter.,Дівчинка мала для свого віку.,Das Mädchen ist klein für sein Alter.,100.0
790,Das Mädchen ist schön.,Дівчина гарна.,Das Mädchen ist schön.,100.0
791,Das Mädchen singt und tanzt und dann lächelt es mich an.,"Дівчинка співає й танцює, а потім посміхається мені.",Das Mädchen singt und tanzt und dann lächelt es mich an.,100.0
792,Das Mädchen singt und tanzt und dann lacht es mich an.,"Дівчинка співає й танцює, а потім посміхається мені.",Das Mädchen singt und tanzt und dann lacht es mich an.,100.0
793,Das Mädchen wusch sich die Haare.,Дівчина помила волосся.,Das Mädchen wusch sich die Haare.,100.0
794,Das menschliche Gehirn wiegt ungefähr drei Pfund.,Мозок людини важить близько трьох фунтів.,Das menschliche Gehirn wiegt ungefähr drei Pfund.,100.0
795,Das möchte ich mit eigenen Augen sehen.,Я хочу побачити це на власні очі.,Das möchte ich mit eigenen Augen sehen.,100.0
796,Das Murmeltier ist unsterblich.,Байбак безсмертний.,Das Murmeltier ist unsterblich.,100.0
797,Das Museum ist nun geschlossen.,Музей зараз закритий.,Das Museum ist nun geschlossen.,100.0
798,Das müsst ihr entscheiden.,Вам вирішувати.,Das müsst ihr entscheiden.,100.0
799,Das nächste Jahr wird schlimmer.,Наступний рік буде гіршим.,Das nächste Jahr wird schlimmer.,100.0
800,Das nächste Mal werde ich es selbst machen.,Наступного разу я зроблю його сам.,Das nächste Mal werde ich es selbst machen.,100.0
801,Das nächste Mal werden meine Kommentare auf Russisch sein.,Наступного разу мої коментарі будуть російською.,Das nächste Mal werden meine Kommentare auf Russisch sein.,100.0
802,Das Nashorn ist sehr groß.,Носоріг дуже великий.,Das Nashorn ist sehr groß.,100.0
803,Das neue System hat sich als erfolgreich erwiesen.,Нова система виявилась успішною.,Das neue System hat sich als erfolgreich erwiesen.,100.0
804,Das Paar ist gestorben.,Пара померла.,Das Paar ist gestorben.,100.0
805,Das Papier wurde in China erfunden.,Папір було винайдено в Китаї.,Das Papier wurde in China erfunden.,100.0
806,Das passiert ab und an.,Таке іноді трапляється.,Das passiert ab und an.,100.0
