EN,UK
Jeremy...,Джеремі ...
Exactly.,- Да.
"And we girls, what are we?",А ми тоді хто?
- I can smell it.,- Я запаху не відчув.
Can I take a look at that?,Можна мені глянути?
"Select this option to choose the calendar to be used to record the item each time you create a new event, to-do or journal entry. This choice is recommended if you intend to use the shared folders functionality of the Kolab server or have to manage multiple accounts using Kontact as a KDE Kolab client.","Позначте цей пункт, щоб вибрати календар, який буде використано для запису елемента під час кожного створення нової події, завдання або журнального запису. Рекомендується увімкнути цей параметр, якщо ви маєте намір використовувати функціональність спільних тек сервера Kolab або керувати багатьма обліковими записами, використовуючи Kontact як клієнт KDE для Kolab."
Click anywhere with the & LMB; outside the chart to go back to & kpresenter; slide.,"Щоб повернутися до роботи зі слайдом & kpresenter;, наведіть вказівник миші на довільну точку вікна програми, розташовану поза межами діаграми, і клацніть лівою кнопкою миші."
And I want it with you.,Чому я маю спать тут?
Now that Suribachi has been taken... the enemy will maneuver all forces onto the hillside.,"Тепер, коли Сурібачі захоплено... ворог перекине всі війська на схил гори."
No. You're right.,"Ні, ти правий."
This will display close buttons inside each tab instead of websites' icons.,Замість піктограми сайта на вкладках буде показано кнопку для закриття вкладки.
"I love you, Naveen.","Я кохаю тебе, Навіне."
"The Coast Guard conducted one of the largest search-and-rescue missions for a single man in its history,","Берегова охорона уперше здійснила чи не найбільшу пошукову операцію, щоб врятувати єдину людину,"
Not without some help from the dead.,Якщо покійники не допоможуть.
Do not display KTTSD signals.,довідка каже
An open source poker client and server,Клієнт і сервер покеру з відкритим вихідним кодом
"Oh, gosh.",Чорт візьми.
Why come to us?,Навіщо до нас-то звернувся?
"A highly good idea, Kido.","Гарна думка, Кідо. Так. Гаразд."
Do you work there?,Працюєте там?
Who was this woman that you shook hands with for the first time?,"Ким була та дівчина, з якою ти вперше тримався за руку?"
'command 'entry is empty/ missing,Порожній або відсутній запис « command »
This is a crime scene.,Це місце злочину.
"A microphone, a room full of inaccurate depictions of Polynesian religion, and a captive audience to hear about it?",кімната... і вдячна аудиторія для історії про неї? Та звісно.
"That's the most important thing, for the two of us to survive, isn't it?","Найважливіше, щоб ми з тобою вижили."
Thank you.,дякую.
We just need one more day.,Нам потрібен лише ще один день.
It's also possible to configure the look of the toolview and document tabs.,"Крім того, можна налаштувати вигляд панелі інструментів і вкладок документів."
"You cannot open pdf documents with Adobe Reader, but you could use Okular.",Ви не зможете відкривати документи у форматі pdf за допомогою Adobe Reader. Але ви можете використовувати Okular.
"Excuse me, but would you please open the window?","Перепрошую, але не могли б ви відкрити вікно, будь ласка?"
Completed returns show that the standard of living... has risen by no less than 20 percent over the last year.,"Повний аналіз показує, що життєвий рівень виріс не менш ніж на 20 відсотків за минулий рік."
"The team together has only been around for around 4-5 months so it's a relatively new team, and Pajkatt, our newest addition, playing Carry for us, he's only been on the team for three weeks now actually.","Команда разом десь лише чотири чи п'ять місяців, тож це відносно нова команда. Pajkatt — наше нове поповнення, гратиме за нас як керрі, він у цій команді десь, взагалі-то, три тижні."
I've never...,У меня...
Run as a different user,Запускати як інший користувач
Page number,Номер сторінки
ok.. connected,ок.. під’єднано
I unexpectedly met an old friend of mine on the bus yesterday.,Вчора я раптом зустрів в автобусі старого друга.
There are two methods to create widget layout.,Існує два способи створення компонування віджетів.
Identity,Профіль
& Notification duration:,& Тривалість сповіщення:
- He's in jail.,- Він у в'язниці.
I came to reclaim something of mine.,Я прийшов сюди забрати дещо своє.
Authorization Dialog,Діалогове вікно уповноваженняItems in a folder
Multiply,Множення
We've been playing in that old car,Ми бавилися в старій машині.
Plot 3D,Тривимірний графік
Delaney's son was a... company boy?,То син Ділейні був... нашим хлопцем?
"Press this button to open the Set Location dialog, which will allow you to choose a location from our list of over 2500 cities around the word. Once a location has been selected, the City, Province and Country fields will be filled in.","Натисніть цю кнопку, щоб відкрити діалогове вікно « Встановити розташування », за допомогою якого ви зможете вибрати розташування зі списку з понад 2500 міст по всьому світу. Як тільки буде вказано розташування, буде заповнено поля « Місто », « Регіон » та « Країна »."
It's not my job to judge the man.,- Це не моя справа засуджувати його.
New dice coming in.,Нові кості в гру.
You're not.,"Ні, не в нормі."
Time's up.,Час вийшов.
You steal a car or something?,ти вкрав машину чи ще щось?
"- No, no.","- Ні, ні."
Toggle whether constellation boundary containing the central focus point is highlighted in the sky map.,"Перемикач того, чи будуть підсвічуватися межі сузір' я, де знаходиться центральна точка фокуса, на карті неба."
Ctrl; 1 Tools,Ctrl; 1 Інструменти Засіб навігації
Here we go.,Ось так.
He's a big boy.,Він великий хлопчик.
Hard to miss.,Трудно не заметить.
Why--?,Що вона собі думає?
Arrows are not to be shot like that,"Е, ні. Ти неправильно стріляєш."
Let's not put the cart before the whores.,давайте не ставити візок перед кобилами.
"Look, I think I, uh...","Слухай, думаю, вона .. вона в підвалі, мертва."
Search expression for source language part. Press Enter to start the search.,"Пошук виразу у частині вихідної мови. Натисніть Enter, щоб розпочати пошук."
The moon was mirrored in the lake.,Місяць відбивався в озері.
Set the length of the track's post-gap,Встановити тривалість кінцевого проміжку доріжки
I find I'm so excited I can barely sit still or hold a thought in my head.,"Я так був схвильований, що ледве міг всидіти на місці від думок у голові."
He just cut the line.,Він уліз у чергу.
It's just-- it's-- it's simple quality control.,"Це просто, це... це просто контроль якості."
-Nut then pop goes my heart,Поворот долі придає зміст життю
Give it back!,Віддай!
And yet there is a picture in the Lost Book.,"У своїх рукописах, Нострадамус передбачає руйнування цих монументів."
"And we are forced to sign your precious Magna Carta, forced by you, a wool merchant!","I нам довелося прийняти вашу заповiтну Велику хартiю, навэязану тобою, торговцем вовною!"
You must be exterminated!,Ти маєш бути знищений!
I will decide by morning.,Я решу утром.
I changed my name.,Я змінила ім'я.
You can manually report this bug at %1. Click Finish to close the assistant.,"Ви можете повідомити про цю ваду вручну за адресою% 1. Натисніть кнопку Завершити, щоб закрити вікно помічника. @ info"
Menu entry for The Plasma search and launch activity,Пункт меню для простору дій пошуку і запису ПлазмиComment
I lied to you.,Я тобі збрехав.
I was just cleaning it.,Я її пpocтo чиcтив.
"Yes, I understand.","Да, понимаю."
Murderer!,Убивця!
Path to the directory containing executables to be run on session login,"Шлях до каталогу, який містить програми, що повинні запускатись під час входу в систему"
Maturity,Дата погашення
Kyat,К’ ят
I did. I do.,я зробив. я роблю.
"It doesn't have to end this way,",Це не так закінчиться.
"Three days' ride, as the Nazgûl flies.","Три дні, зі швидкістю назгула."
"But then, you appeared.",Аж тут з'явилася ти.
Wow.,Ось.
Your wish is my command.,Накажи мені.
"Long live King Tommen and bless you, Queen Margaery!","Хай живе король Томмен, благословення королеві Марджері!"
Two...,Дві...
Best of luck to you and her.Bye-bye.,хай вам щастить тобі і її. бувай.
Window Behavior,Поведінка вікон
"Dunkel, Dunkle, who's gonna shepherd you now?","Данкеле, Данкеле, хто ж тепер тебе настановить?"
I know you are.,Я знаю.
How should I know?,Звідки мені знати?
Don't open it.,Не відчиняйте їх.
It healed me of jihad.,І той вигляд мене змінив.
"Mom, no.","Мамо, ні."
"Everything you've ever wanted since you were old enough to want anything, it's all yours for the taking.","Все, чого ти хотіла, відтоді як почала мріяти? Це все твоє."
I'm just trying to explain the new reality to these people.,Я просто намагаюсь пояснити нову реальність цим людям.
"This view shows the call graph around the active function. The cost shown is only the cost spent while the active function was actually running, & ie; the cost shown for main() (if it's visible) should be the same as the cost of the active function, as that is the part of inclusive cost of main() spent while the active function was running.","У цьому перегляді буде показано граф викликів навколо активної функції. Показана вартість є лише вартістю, яку було витрачено під час виконання самої активної функції; тобто вартість, показану для функції main (), — якщо вона є видимою, — має бути тією самою, що і вартість активної функції, оскільки вона є частиною включеної вартості main (), витраченої під час виконання активної функції."
Some filenames need to be shortened due to the %1 char restriction of the Joliet extensions. If the Joliet extensions are disabled filenames do not have to be shortened but long filenames will not be available on Windows systems.,"Деякі назви файлів потрібно скоротити через% 1- символьне обмеження розширення в Joliet. Якщо розширення Joliet вимкнено, то немає потреби скорочувати назви файлів, але довгі назви файлів будуть недоступні на системах Windows."
The bloody Burmese military campaign against the Karen people has been going on for almost 60 years... the longest running civil war in the world.,Це найдовша громадянська війна у світі.
Silicon,Паскалів
"The driver dies, our man is hospitalized, broken up.","Вони їдуть вночі, і раптово машина врізається в стіну."
"If we don't win or we lose to foreign teams, Chinese fans will have doubt in us.","Якщо не переможемо або зазнаємо поразки від іноземних команд, китайські фани почнуть у нас сумніватися."
Kazaa and Grokster and a set of other companies.,"Kazaa, Grokster і деякі інші компанії."
Punch?,- Пунша?
"Oh, he's got his laptop in there, on top of his lap.","У нього там ноутбук, на колінах."
Do you have nightmares?,Тобі сняться жахіття?
Woola would follow you anywhere on Barsoom.,Вула піде за тобою всюди на Барсум.
Sabah & Sarawak,Сабах і Саравак
Napalm?,Напалм?
"We will build new schools, new roads","Ми збудуємо нові школи, нові дороги,"
"Looking good, Francis. Well rested.","Добре виглядаєш, Френсіс."
Introduction,Вступ
What's there?,Що там?
Gimli,Ґімлі
Show all message headers,Показувати всі заголовки повідомленняView - >
"It's over, Krei.","АМБ¦ іЎіµѕо, Е©·№АМ"
The strike affected the nation's economy.,Страйк вплинув на національну економіку.
"Nothing, sir.","Нічого, сер."
But you've never been too hot at lying to me.,але ви ніколи не могли брехати мені.
We're not gonna make it!,- Ми ж цього не зробимо!
Don't lie to me!,Не бреши мені!
Please type in the port number on which to offer connections:,"Будь ласка, вкажіть номер порту, на якому слід приймати з’ єднання:"
I'll talk to those guys...,Я поговорю зі всіма завтра.
Help!,Допоможіть!
Automatically flip flashcard,Автоматично перевертати картку
Harry Potter....,Гаррі Поттер...
"Oh, Alan, how could you?","оу, Алан як ти міг?"
"You know, I just think that when people say that, you know, hate jazz..","Я думаю, що люди які кажуть... ну знаєш, що ненавидять джаз"
"– Excuse me, can I just get...","– Вибачте, можна мені..."
Deadtime:,Перервати з' єднання:
Jesus.,Ісус
- Maricón!,- Пуф!
Take me.,Візьми мене.
"Yeah, I know.","Да, я знаю."
I'm leaving.,Я йду.
Tool to automatically generate Desktop Files from Solid DeviceInterface classes for translation,Інструмент для автоматичного створення стільничних файлів на основі класів DeviceInterface Solid для перенесення
Importing %1,Імпортування% 1
I'm a purveyor of beauty and discretion - both equally important.,"Я надаю і красу, і конфіденційність, Які однаково важливі."
Now y'all got to get hitched.,Слід би оженитись.
Glad he's dead.,"Радий, що він мертвий"
Color of Milky Way contour,Колір контуру Чумацького Шляху
Give me a sec.,Одну минуту.
The carnage is about to begin.,От-от почнеться бійня!
No bomb parts found in a 3-mile radius of the Chinese theatre.,І частин бомби навколо Китайського кінотеатру не виявлено?
I don't feel like it.,"Я просто не хочу говорити, і все."
"But, uh, it's actually easier if I... if I show you.",Мені буде легше показати вам.
Be brave.,Будьте сміливим.
Fire!,Вогонь!
I'm sorry.,Прошу вибачення.
"This investment account does not contain the ""%1"" security. Transactions involving this security will be ignored.",На цьому інвестиційному рахунку немає цінного паперу «% 1 ». Операцій з цим цінним папером буде проігноровано.
- Who are your principals?,- Хто ваші замовники?
"Hey, how are you?","- Здоров, як справи?"
"Oh, fuck.",Ебать.
I always liked you .,Ти завжди мені подобався.
~ Yeah... now I know.,— Да теперь знаю.
Dearie me.,Дорогенька ти моя ...
I'll tie a message to its leg asking for help.,"Я прив'яжу до її лапки листочок, де проситиму допомоги."
- What's he do?,- Чим він займається?
My point is he's clearly overreacting.,"Я ж кажу, він просто перебільшує."
A simple media checker that searches for DICOMDIR and/or DICOM files.,"Проста програма для перевірки носії даних, яка шукає файли DICOMDIR і/або DICOM."
Change to Desktop 11,Перейти до стільниці 11Comment
My name is Arthur Marsh... pastor of the Christ Church in Colorado.,- Я Артур Марш. Пастир християнської церкви в Колорадо. У мене до Вас розмова.
Don't worry about anything.,Погано. Ні про що не турбуйся.
You have to do it.,— Ви маєте це зробити.
What do you think is really going on?,I як ти це поясниш?
I'm in no condition to check out.,- Що? Я не в стані виїхати.
You're not staying here?,"Ти що, не залишишся тут?"
- We had nothing to do with that.,- Ми не маємо до цього відношення.
- It's probably tetanus.,"- Схоже, правець."
- Where are the others?,- Де інші? - У морзі.
"No, it's-- it really is--","Ні, ні ... правда ..."
"Point is moot. I can't go anyway, so we're cool.",Питання закрите: я і так не можу нікуди поїхати.
At the close of Friday's meeting... we were discussing Mr. Harding's problem concerning his wife.,"В кінці зборів, в п'ятницю... ми обговорювали проблему містера Хардінга пов'язану з його дружиною."
I can run.,I can run. Я побіжу.
We must reach the mountain before - - The sun sets on Durin's day,"Ну, вперед, нам треба дістатися гори до заходу сонця в День Дуріна."
"Huge, all right?",Розумієш?
I can't cook when I'm crazy.,Тільки не доводь мене!
His eyes?,Його очі?
You must rest.,Потрібно відпочити.
Whoa! Yes!,Да!
Melamine,МеламінName
GeoClue position provider Plugin,Додаток визначення місця розташування GeoClue
I understand how you feel.,Я очень тебя уважаю.
Keep looking.,Його ніде не видно.
I have a plan.,— У меня есть план.
Settings Configure Shortcuts...,Параметри Налаштувати скорочення...
Close Others,Закрити інші
"By scoring a thread, you determine its importance. & knode; allows scores between -100000 and 100000. A normal article will get a score of 0 if you do not change this; threads with a score below 0 are less important than average; threads with a score above 0 are more important than average.","За допомогою оцінювання гілки ви можете визначити її важливість. & knode; надає змогу оцінювати статті значеннями від - 100000 до 100000. Звичайна стаття отримує оцінку 0, якщо ви нічого не змінювали. Гілки з оцінкою меншою за 0 вважатимуться менш важливими, а гілки з оцінкою вищою за 0 — важливішими за звичайні."
Just me.,А меня.
I don't understand why they've done this?,"Не розумію, чому вони це зробили?"
He's just a little boy!,Он просто маленький мальчик!
- Not a chance.,- Не дочекаєтесь.
Size:,Розмір:
Click here to cancel the creation of the table. No action will be performed.,"Клацніть сюди, щоб скасувати створення таблиці. Жодної дії не буде виконано."
Yes. Yes?,- Да?
Edit Find in Files...,Правка Знайти у файлах...
To remove the user parameters for the external program %1 open the K3b settings page'Programs' and choose the tab'User Parameters'.,Щоб вилучити параметри користувача для зовнішньої програми% 1 відкрийте сторінку K3b « Програми » і виберіть вкладку « Параметри користувача ».
Compilation and Installation,Збирання і встановлення
The late fourth century A.D. the Roman Empire began to crumble.,До кінця 4 століття н.е. римська імперія була на межі розпаду.
Using the kde; Control Center,За допомогою Центру керування & kde;
Rating,Оцінка
"alan, I need to talk to you.","Алан, мені треба поговорити з тобою."
-It's just something Gandalf said.,"- Про що це ти? - Ну... про те, що Гендальф сказав."
Font for Messages,Шрифт для фраз
Show anniversaries from your address book,Показати ювілеї з вашої адресної книги
"For opening a new window, there is even more control. You can set & konqueror; to Allow all such requests, Ask each time a request is made, or Deny all popup requests.","Для відкриття нових вікон у вас буде ще один варіант. Ви можете вказати & konqueror;, що слід Дозволити виконання таких запитів, Запитувати кожного разу, коли надходить подібний запит, або Відмовити у виконанні всіх запитів на відкриття контекстних вікон."
Add Drop Shadow...,Додати тінь...
Current Document,Поточний документ
Don't be afraid.,"Давай, не бійся!"
Different when.,"Інше ""коли""."
And your name?,А тебе як звати?
I piss on Dothraki omens.,Сцяв я на Дотракійські прикмети
Really good.,Дійсно.
Yep. Yep.,"Да, да."
A someone who is powerful.,Кимось могутнім.
Writes the paper size as a special into the DVI-file,Записує розмір сторінки як параметр до файла DVI
Too late for that.,Вже занадто пізно.
Enough!,Досить!
Choose analog out 8 left signal source,Оберіть джерело лівого сигналу аналогового виходу 8
Now tell me.,Люди здаються мені чужими і огидними.
So I'll catch you on the flip.,Зустрінемося потім.
Result Preview,Перегляд результатів
Firstname Surname,Ім' я Прізвище
- Thank you.,Дякую.
Dia.,Діа.
-Jakoubek will be glad.,- Якубек буде щасливий.
Put 'em on.,Надень.
- Hi.,- Привіт.
- And how many children would we have?,І скільки ж у нас буде дітей?
"Testing,...","Тестування,..."
Music Theory,Музична теорія
"No, I'll show you some card tricks.","Ні, ні, я вам покажу пару карткових фокусів."
You really are the brightest witch of your age.,Це правда. Ти найрозумніша молода відьма.
Affirmative.,Підтверджую.
Not quite.,не зовсім.
The game tells you a map division name and you have to click on it,Гра з вгадування за назвою території на карті
"Bacon's the least of our worries, Roger.","Бекон - найменша з наших турбот, Роджере."
I need to talk some with your mama.,Мені треба поговорити з вашою мамою.
A friend?,Друзья?
I will lead the van or I will take my men and march them home.,"Або я поведу авангард, або я забираю своїх людей ... і відправлю їх додому."
& Persistent option,Завжди присутній
"It really is the most important way one can contribute, isn't it?","Це дійсно найбільш важливий шлях для кожного, щоб допомогти, так?"
I won't.,Не відпущу.
"But in the last few decades, scientists have looked inside the atom and found that things are a lot more complicated.","Але останні кілька десятиліть вчені заглядали всередину атома та виявили, що все набагато складніше."
Answer the God-damn question!,Ану відповідай!
"You have to know how the world works, how people think...","Ти повинна знати, як влаштований світ, як думають люди..."
ROLES_OF_TRANSLATORS,Юрій Чорноіван yurchor@ ukr. net Переклад українською
"Hello, baby, happy birthday.","Привіт, малюк, з днем ​​народження"
"Thought I'd take another shot at wandering around, see if anything makes it ping.","Думала, може варто ще повештатись довкола, а раптом ще щось надсилає сигнал."
Unable to bind outvalues,Неможливо пов’ язати вихідні значенняQMYSQLResult
Thought he might have some leads.,він підкине якусь ідею.
"By using the help KIOslave in & konqueror;. So, in the Location Toolbar, simply type help: / Application name",За допомогою довідкового KIOslave у & konqueror;. Вам достатньо ввести у рядок адреси: help: / назва програми
Sorting numbers:,Числа упорядкування:
I didn't think of that.,Я про це навіть не подумав.
I'm a pediatrician.,я педіатр.
"While you were busy minoring in gender studies and singing a capella at Sarah Lawrence,","Поки ти був зайнятої шестірньою в гендерних дослідженнях і співав у Sarah Lawrence,"
Stay!,Прочь!
Off (1-Sided),Вимкнено (односторонній)
Switches and Multiple-Choice selectors,Перемикачі і засоби для вибору з варіантів
- I got you!,- Я з тобою!
Nancy smiled happily.,Ненсі щасливо посміхалася.
He can't come in!,Він не може увійти!
That she might save her children.,Запропонувати королеві врятувати своїх дітей.
That's all.,От і все.
He'll be back in ten.,Він повернеться за десять хвилин.
And what is?,- І це погано?
Text Position,Розташування тексту
- Sexy.,- Сексапільний.
It's a decision.,"А в тому, що ти вирішив."
ROLES_OF_TRANSLATORS,Юрій Чорноіван yurchor@ ukr. net Переклад українською
"Now we know the chemicals of life were inside comets, raining down on our planet.","Тепер ми знаємо, що складові життя були в кометах, що сипалися з неба на планету."
Construct the vector sum starting at this point.,Побудувати вектор суми з початком у цій точці.
I appreciate that. I appreciate the support.,Очень признателен за поддержку.
... oraren'tyouthe kindthat tells?,"Чи ти не з тих, що розповідають?"
Take everyone to the lab!,Усіх в лабораторію!
This is perhaps the most important memory I've collected.,"Це, мабуть, найцiннiший спoгад у мoїй кoлекцiї."
Delete currently selected preset. Not available for built-in presets.,Вилучити поточний обраний набір налаштувань. Вбудовані набори вилучати не можна.
Pause,Пауза
Yeah?,Ну?
This highlights on the keyboard the key you have to type next. It is easier to type when this is checked.,"Цим підсвічується на клавіатурі клавіша, яку потрібно натиснути наступною. Якщо увімкнено цей параметр, стає легше друкувати."
I want to go with you!,Я хочу піти з тобою!
'BD' to install the build-dependencies of a package.,«BD» встановити збірочні залежності пакунку.
"I work in the bank across the street, and the only hot guys that ever come in here are from your agency.","Я працюю в банку навпроти, і гарячі хлопці приходили сюди тільки з твого агентства."
Last year a storm swallowed up my husband and daughter.,Минулого року буря забрала моїх чоловіка і дочку.
Bill...,Білл.
Time is a lie.,Час це брехня.
What are you doing here?,Ти що тут робиш?
- We're good to go. - Jake's all connected.,"Джейк, все з'єднане."
He showed me the letter you wrote to him when he petitioned for men.,Він показав мені вашу відповідь на його прохання про підкріплення.
Are you kidding?,"ти що жартуєш, мій брат точно не той хто одружується."
Audio Encoder,Кодувальник звуку
Good luck.,Успіху.
This coffee is too strong for me.,Ця кава заміцна для мене.
Northern,Північна
Visual representation of Disjoint Specialization in EER Diagram,Наочний показ несумісної спеціалізації на діаграмі EER
"Legolas, your mother loved you, more than anyone, more than life.","Леголас, твоя мати любила тебе, більше всього на світі, більше життя."
The function %1 is depended upon by the following functions: %2. These must be removed in addition.,Функція% 1 залежить від таких функцій:% 2. Цю залежність слід виключити.
Corporate accounts payable.,Фінансовий відділ компанії.
"The three of us, we are all good people.","Ми троє, ми всі хороші люди!"
Don't you ever fucking tell me what to do.,"Я і без тебе знаю, що мені робити."
CRL missing,Немає CRL
Only my close friends could drink it.,І лише мої найближчі друзі зможуть пити його.
- Twenty-one!,- Двадцять один!
"Drive up, push the button, and let's see what happens.",що трапиться.
"Gentlemen, maybe we're biting off more than we can chew.","Господа, здається, ми надто заглибилися."
Section Editor,Редактор розділів
- Come on.,- Давай.
Do I owe you anything?,Я вам щось винна?
Grenade!,- Гранату.
I just felt...,Я просто почувався...
"Excellent, good.","Питай далі. Чудово, гаразд."
Either you take me live or I tell your wife everything.,"Або онлайн-репортаж, або я все розповім твоїй дружині."
Bum.,Згоріти.
You still have friends.,У вас ще є друзі.
"I called him Lionfart once, he did not care for that.",а йому хоч би що.
- I've got someone holding my place in line.,- Для мене тримають місце у черзі.
Bloody kids.,Кляті байстрюки.
"Mine was ""Woman with a Secret.""","А мій називався ""Жінка з секретом""."
Do not seek the treasure.,Не треба шукати мільйон.
Serial Fax/ Modem printer,Принтер - послідовний факс/ модем
You got a lot of brass coming up here by yourself.,Не страшно було йти сюди одному?
What is this?,"Кожен мусить описати, як було, коли він ще пив."
The essence of Plasma revolves around two basic concepts:,Основою Плазми є два базових елементи:
X the independent variable of the power series,X — незалежна змінна степеневого ряду
We're going to see the Elves.,Ми побачимо ельфів.
I don't like it.,Погана затія.
Over by a pound and a half.,На півтора фунта більше.
Then his rucksack can be kept in the store,Може тримати його у вашому клубі?
The email address you entered is not valid because it contains more than one @. You will not create valid messages if you do not change your address.,"Введено некоректну адресу електронної пошти, оскільки вона містить більше ніж один символ @. Ви не зможете створювати повідомлення, якщо ви не зміните вашу адресу."
You know nothing of life.,Ти погано знаєш життя.
"Here, here, and here.","Тут, тут, і тут."
"What's that, a... criminal?",Хто ж ти... злочинець?
The third hole is on Lalli and Sisi's land.,Третя лунка на землі Лаллі й Сісі.
"Oh, no.","О, ні!"
Did he get to him?,Він дістався до нього?
"Kind of sound like a pamphlet there, Eden.","Ти говориш як якийсь рекламний проспект, Іден."
I am truly sorry.,Справді співчуваю.
Finally connected with Avaliani.,Нарешті дозвонився до Аваліані.
"I wouldn't say ""friends.""","Я б не сказав, що друзів. Та ні."
Hello.,Вітаю.
What are your strengths?,Які твої сильні сторони?
We're all going to die!,Ми всі помремо!
We knew to be afraid of snakes long before we ever even got into this world.,"Ми боїмося змій ще до того, як з'явимося на світі."
I want my little girl.,Мені потрібна моя маленька дівчинка.
What could be more important?,Що може бути більш важливим?
He faces his 100th slave gladiator in the arena this afternoon.,Сьогодні він битиметься вже проти сотого раба.
"In this next example, we view all events for the week of August 18-22:",У наступному прикладі ми переглянемо записи про події протягом тижня з 18 серпня до 22 серпня:
You can't forget things like that when you have a child in the house.,ти не можеш забувати подібні речі коли ти маєш дитину в будинку.
And he thinks I'm old-fashioned.,А він мене вважає старомодним.
It's attacking your cancer as fast as it can form.,"Вони атакують пухлину, як тільки вона формується."
- Why?,- Чому?
Oguz,Огузький районazerbaijan. kgm
"There are rumors which you can't breathe to Martha for she foams at the mouth that the Old Man, her father is over two hundred years old.","Ходять чутки які Марта ані слухом, ані духом не хоче чути, бо в неї аж піна з рота лізе про те, що стариганю, її татусеві понад дві сотні літ."
Who cares?,Кому яка справа?
What do I do with it?,І що з нею робити?
System Exclusive MIDI file for reset message.,Системний файл MIDI для повідомлення про відновлення параметрів.
There's no way we can handle them.,Тепер нам з ними не впоратися.
"Okay, then.","Ну, тоді бувай."
Select this to use constellation names from your locality (if available),"Оберіть це, щоб використовувати назви сузір’ їв рідною мовою (якщо доступне)"
CPU %1 Usage: %2%,Використання процесора% 1:% 2%
OpenVPN import: use usedefinied MTU: %1,Імпорт OpenVPN: використовувати визначене користувачем значення MTU:% 1
And I'm afraid it has to be our last.,"І боюся, воно стане останнім."
"I can fix this, all right?","Я можу це виправити, адже так?"
Unfortunately she already has a steady boyfriend.,На жаль у неї вже є постійний коханець.
Roman!,- Бувай. Ромку!
Smolyan,Смолянська областьbulgaria. kgm
I love you.,І я тебе.
You're the only person in the whole world who knows the real me.,Ти єдина людина у цілому світі яка знає мене справжнього.
Thick Outline with Halo,Товстий контур з ореолом
He's gone...,Він пішов...
My cap!,Шапочку!
After we bury the body.,Але спочатку закопаємо труп.
There is simply no belief that can match ours... because peace and unity is the gift that we bring to all mankind.,яка може зрівнятись з нашою в миролюбності. Наша дружба — наш дарунок людству.
Delete even if I/ O errors occur (--ignore-errors). This option has to be specified in conjunction with --delete to take effect.,"Вилучати файли, навіть якщо станеться помилка вводу- виводу (-- ignore- errors). Щоб досягти бажаних результатів, цей пункт слід використовувати разом з параметром -- delete."
Settings Difficulty,Параметри Складність
"Oh. I don't, uh...","Оу, я не..."
Content,Вміст
Dragon Warrior!,Воїн дракона!
"- It's the same thing, really.","- Це одне й те ж, насправді."
Take me back there.,Поверніть мене туди.
Libyan Arab Jamahiriya,Лівійська Арабська Джамахірія
Print profiling information,Надрукувати інформацію профілювання
I just need to tell you something.,мені просто треба тобі дещо сказати.
"(c) 1997-2008, KJots developers","© 1997- 2008, Розробники KJots"
"Speaking of customer, it's not too late to have a grand opening.","До речі про клієнтів, ще не пізно влаштувати грандіозне відкриття."
I won't.,Я не стану.
Follow me!,За мною!
Who would believe it?,Сто одинадцять років. Хто б повірив?
Which one? Which one?,Який варіант ви оберете?
"If it wasn't for her, I-I would have been homeless.",я би був безпритульним.
"We have someone on the inside, a total psycho.",У нас є хлопець усередині - справжній псих.
And what happened then?,А що далі?
You'll bring me in for sure.,Вони йдуть за тобою.
Not as long as those who remain are loyal to him.,"Поки залишаються ті, хто вірний йому."
"Besides the grid type, there are other widget layout types.","Окрім типу ґратки, існують інші типи компонування віджетів."
In that order.,Та я не сміялася.
Papa!,Тату!
Whether to keep the application window open when it loses focus.,"Чи залишати вікно програми відкритим, якщо воно втратить фокус. @ label"
Edit Toolbar,Змінити панель інструментів
"There is no change course, just Norway's too many Russian illegals.",просто в Норвегії стало занадто багато росіян-нелегалів.
Add Media,Додати носій
"Come on, boy.",Давай.
Smash him back!,Бий гада! Дай здачі!
And this.,І ця.
They were... they were inconclusive.,Він... Він був неоднозначним.
Frodo and Sam have reached the eastern shore.,Фродо та Сем вже дісталися Східного берега.
Okay.,Дорею.
"We're going out on this little 12-foot Zodiac, inflatable job, twilight cruise.","Ми відпливаємо на 3, 7-метровому надувному ""Зодіаку"", круїз у сутінках."
Select one of these mirrors,Виберіть одне з цих дзеркал
You answered correctly %1 out of %2 questions.,Ви правильно відповіли на% 1 із% 2 питань.
Not Angola (Provinces),Не Ангола (Провінції) angola_ provinces. kgm
Number of rows:,Кількість рядків:
"- So, is he about?","- Тож, він десь тут?"
Julia...,Джуліє...
- I don't care anyway.,Я не знаю.
I never wanted any of this.,Я ніколи нічого такого не хотіла.
- Must have been painful.,"Боляче, мабуть."
What is that?,Що це за звук?
inch per second; inches per second; in/ s; in/ sec; ips,дюйм на секунду; дюйми на секунду; дюймів на секунду; дюймах на секунду; дюйм/ сamount in units (real)
Normal Users,Звичайні користувачі
To find some kind of peace.,Знайдеш хоч якесь умиротворення.
Your backend does not support any of the needed methods to install a catalog,Ваш сервер не підтримує жодного з потрібних для встановлення каталогу методів
"If the resource view is not available on & korganizer; 's sidebar, choose the Settings Sidebar Show Resource View menu item to display it.","Якщо ви не бачите панелі перегляду ресурсів на бічній панелі & korganizer;, позначте пункт меню Параметри Бічна панель Показати перегляд ресурсів, щоб програма показала цю панель."
