EN,UK
Nach der EM in Deutschland ging Walter ins Ausland.,"Before coming to Belgium, Walter played in Germany (a.o."
"Darüber hinaus gibt es die Tatsache, dass Steuern den Mitgliedstaaten zur Verfügung stehende wichtige Instrumente sind, und dies gilt insbesondere für schwierige Zeiten, wie die aktuelle Krise.","There is also the fact that taxes are important tools at the disposal of the Member States, and more so than ever in difficult times, such as the present crisis."
Der Fall ist abgeschlossen.,Case closed.
"Flatbed, bist du online?","Flatbed, you on line?"
Wer wir sind und wie wir’s machen: Deutsch in Berlin,German courses in Berlin
"Wir brauchen als Fortsetzung des ?Erika?-Pakets ein ?Prestige?-Paket, dessen schnelle Vorbereitung die Kommission unverzüglich in Angriff nehmen sollte.","We need a Prestige package as an extension to the Erika package, which the Commission should start drafting right away with a view to producing something quickly."
"Du drängst mich in eine Position, wo ich dich verteidigen muss. Wieder mal.",You put me in a position where I have to defend you.
Nach ihrer Einreichung wird jede Teilanmeldung als unabhängige Patentanmeldung behandelt.,"After filing, each divisional application is treated as an independent patent application."
Die Öffnung zwischen den Stäben beträgt maximal 35 Millimeter.,The bar spacing of the grid shall not exceed 35 millimetres.
Ein sehr lustiger Witz.,Ha-ha. It was a hell of a laugh.
di 11/04/17 - 7 Nächte -20% - 303€,tue 11/04/17 - 7 nights -20% - 423€
"Die Liste der neuen Fälle, in denen das traditionelle Wissen verwendet wurde, um Pflanzen in den industrialisierten Ländern zu patentieren, ist lang.","The list of recent cases, in which the traditional knowledge was used to patent plants in industrialized countries, is long."
"Die Höhe der von [...] angebotenen Finanzierung — 7,3 Mio. NLG (3,3 Mio. EUR) — ist zwar geringer als die zusätzliche Finanzierung, die letztlich von der BNG angeboten wurde (11,3 Mio. NLG (5,1 Mio. EUR)), stellt aber doch einen erheblichen Teil davon dar.","The size of the loan offered by […], at NLG 7,3 million (EUR 3,3 million), was not as large as the additional financing ultimately offered by BNG, which amounted to NLG 11,3 million (EUR 5,1 million), but did correspond to a large part of it."
Zu den Waffen!,To arms!
"So wie das Wasser,",Into the water
Und dann ist eure Freundschaft zu Ende.,Your bond may be broken forever.
"zum Stichwort ""Predigt"": 15 Einträge","26 results for ""sermon"""
Welcher erwachsender Mann lässt sich von seiner Mami abholen?,What kind of grown man gets his mommy to pick him up?
"Natürlich hat die Manieren seiner Mutter. Hallo, ich bin Pete.","Clearly, he has his mother's manners."
"Oh, nein, nein.","Oh, no, no."
Danke sehr.,Thank you.
"Der Kampf gegen den Terrorismus und gegen diejenigen, von denen er ausgelöst wird, stellt offenkundig eine unabdingbare Notwendigkeit dar.","The fight against terrorism, and against those who incite it, is clearly a necessity."
Veränderung (11)-(3),Difference (11)/(1)
so 15/01/17 - 7 Nächte - 438.2€,sun 15/01/17 - 7 nights - 438.2€
"Die Prüfungen nach Absatz 6.4.1, 6.4.2 und 6.4.3 werden so durchgeführt, dass gleichzeitig auf jeden Sitz und auf jede Sitzreihe eine zusätzliche Kraft entsprechend den nachstehenden Angaben einwirkt.","The test specified in paragraphs 6.4.1, 6.4.2 and 6.4.3 above shall be performed, as appropriate, at the same time superimposing for each seat and for each group of seats a force as stated below."
"Die vorliegenden ENERGY STAR-Spezifikationen sollen bildgebende Produkte erfassen, die privat, in Unternehmen und zu kommerziellen Zwecken genutzt werden, nicht jedoch Produkte für Industrieanwendungen (z. B. Geräte mit Drehstromversorgung).","These ENERGY STAR specifications are intended to cover personal, business, and commercial imaging equipment products but not industrial products (e.g. products directly connected to three-phase power)."
"Wir wollen zum einen die Künstler, deren Werke wir erworben haben, aktiv unterstützen durch Vermittlung an Galerien, Sammler und Museen. Des weiteren wollen wir auch mit den erworbenen Werken arbeiten und diese Museen und Galeristen für andere Ausstellungen zur Verfügung stellen.","We will actively support the artists, whose works we have acquired by facilitating the placement of their works in galleries, other collections and museums. Furthermore, we will also work with the acquired pieces of art and shall make them available for museums and gallery owners for other exhibitions."
"Der Europäische Rat von Laeken soll politische Maßnahmen in Bezug auf Einkommen, Beschäftigung, Wohnung, Gesundheit, Bildung, Ausbildung und Kultur verabschieden.","The Laeken European Council should adopt political measures on income, employment, housing, health, education, training and culture."
"Abonnieren von Fehlerberichten. Joachim Breitner kündigte eine neue E-Mail-Abonnement-Funktion für Fehler in der Fehlerdatenbank (bug tracking system, BTS) an.",Bug Mail Subscription. Joachim Breitner announced a new bug subscription feature of the bug tracking system (BTS).
Damit sollte man sich innerhalb Europas genauestens beschäftigen.,It needs to be explored in depth within Europe.
"Deshalb kommt es auch auf die Fähigkeit der Europäischen Union an, Fortschritte in den Bereichen der europäischen Sicherheitsforschung, -technologie und -innovation zu erzielen.","Consequently, it is also linked to the ability of the European Union to proceed more quickly in the sectors of research, technology and innovation for European security."
Davon kommen 28 Abgeordnete aus der Föderation Bosnien und Herzegowina und 14 Abgeordnete aus der Republika Srpska.,"28 members are elected from the Federation of Bosnia and Herzegovina (FBiH), and 14 from the Republika Srpska (RS)."
Unterhaltungsprogramm und Fitness im Hotel Meliá Ibirapuera,Fun and fitness at the Meliá Ibirapuera
Die Plasmastürme sind zu stark.,The plasma storms are too strong.
Die Data Flow Edition visualisiert den Datenfluss und die Aufrufsequenz von Funktionen in Flowchart ähnlichen Graphen.,The DataFlow Edition visualizes the data flow and the call sequence of functions in graphs similar to flowcharts.
"Aber ich kann nicht verstehen, worüber sie sich beschweren sollte.",But I can't understand what she has to complain about.
Warum bloß?,"I mean, why?"
- Verhaften Sie mich doch. Bestrafen Sie mich! Werfen Sie mich doch ins Gefängnis!,"Punish me, teach me a lesson, put me in prison!"
"Doch in San Benito County sind nur 29 registriert, und davon 4 in Mintern.",But only 29 of them registered in San Benito county and four in Mintern proper.
Ich kann mich nicht erinnern.,Uh... I can't remember.
Er respektiert niemanden und hört auf keinen.,"And he's got no respect for nobody, he doesn't listen to nobody. That's not crazy."
Vermutlich hat er davon irgendeinen Vorteil.,I'm sure it was in some way for his own convenience.
"- Nein, nein, nein.","- No, no, no."
Hier rüber.,Absolutely lovely.
- Lachhaft.,- I don't care.
Die Anwesenheit des roten Gens auf dem X Chromosom erklärt warum männliche Katzen häufiger rot sind als weibliche.,The presence of the orange gene on the X chromosome explains why it is more common for male cats have red coats than female cats.
Es könnte dir gefallen.,You might get a taste for it.
Neal Chadwick Arsen im Ötzi (1996) (D),"Brunner, The Sheep Look Up (1975) (D) (Rezension)"
"Zum einen muß man im Blick haben, daß das Bevölkerungsproblem ""unter ethischem Gesichtspunkt zunächst nicht eine Frage der Sexualethik, sondern der Sozialethik"" (Bischof Franz Kamphaus) ist.","On the one hand, one must have in mind that the population problem ""from an ethical point of view is initially not a question of sexual ethics but of social ethics"" (Bishop Franz Kamphaus)."
Der Familie geht es allen gut und sie sind gesund.,The family is all healthy and fine.
"Multilateralismus bleibt dabei der am besten gangbare Weg hin zu einem globalen freien Markt, und der Abschluss bilateraler Abkommen gereicht den kleineren Ländern und den Entwicklungsländern zum Nachteil.","The Netherlands is pre-eminently a trading nation, after all."
"Der Präsident von der Autorität wird keine mehr politische aber unternehmerische Figur sein,- hat es das gewerkschaftlich organisieren spezifiziert -; es wird von der Regierung ernannt und wird von einem sehr beschränkten Hafen Komitee flankiert, dass es, von einem geeigneten Register wählen wird.","The president of the Authority - he has specified the mayor - will not be more a figure political, but managerial; he will be named by the government, that he will choose from white an appropriate one, and will be placed side by side by a Harbour Committee very more narrow."
Die Ergebnisse waren widersprüchlich.,The results were contradictory.
WMV: (3 MB) Archiv: (4 MB),WMV: (3 MB) Archive: (4 MB)
"Autovermietung gibt Ihnen die Freiheit, Vila do Conde auf Ihre Weise zu entdecken.",Car rental grants you the freedom to explore Vila do Conde in your way.
"Seitenverweisung Vol. 25, No 3, December 2011, p. 288","Page reference Vol. 25, No 3, December 2011, p. 288"
▼B 4 .,▼B 4 .
"Junior Suite für 2-6 Pers. (Standard 2 Pers.) 191,00 201,00","Junior Suite for 2-6 pers. (standard 2 pers.) 191,00 201,00"
"Harrison heiratete 1959 Linda King, sie haben zwei Töchter.","In 1959, he married Linda King, with whom he has two daughters."
der Erhöhung der Attraktivität des Berufs des Wissenschaftlers sowie,enhancing the attractiveness of the research profession; and
"So ertrage mit Geduld, was sie sagen. Und singe das Lob deines Herrn vor dem Aufgang der Sonne und vor dem Untergang,","Therefore (O dear prophet Mohammed – peace and blessings be upon him) patiently bear upon what they say, and praising your Lord say His Purity before the sun rises and before the sun sets."
Dann hätte ich das klarer ausdrücken sollen.,Then I would be more precise.
Sie ist süß.,- She's cute.
"Die Fanatiker, die mit einem Terroristenkind auf dem Friedhof nicht ihre Angehörigen haben wollten, ... die sind hier jeden Tag hergekommen.",The fanatics who didn’t want their relatives in a cemetery with a terrorist child ... they came here every day.
"Guten Tag, Dersu!","Hello there, Dersu!"
"Der Paliastomi See liegt an der Ostküste des Schwarzen Meeres, 10 km südöstlich der Stadt Poti, auf einer Meereshöhe zwischen - 0,3 und 2 m.","The Paliastomi Lake is located at the eastern coast of the Black Sea, 10 km south-east of Poti City, at a sea level between - 0,3 and 2 m."
Ich bin 45'8 gefahren.,I did 45'8 yesterday at the training... (At the start:
"So erhält der Handel eine Vielzahl nutzbarer Daten zum Einkaufsverhalten, zu Interessenschwerpunkten oder den bevorzugten Ansprachekanälen des einzelnen Kunden. „Generell werden aber nur Daten gesammelt, deren Nutzen für den Kunden nachvollziehbar ist.","This way, retail receives a multitude of useable data on buying behavior, special interests or the individual customer’s preferred channels. “Generally, however, we only collect data whose benefit the customer is able to understand."
Die Schwester Pauls?,Paul's sister?
Für dich war es auch gut?,You enjoyed it too?
"Lernen Sie Rumänisch zu sprechen, mit nützlichen Redewendungen für viele Situationen. Lernen Sie mehr",Learn to speak Romanian with useful phrases for travellers.
Hier kannst Du durch frühere Ausgaben blättern.,Here you can flip through previous issues.
Sie wurden beim Pokern geschlagen.,They took a beating at cards.
"Derzeit haben die Kinder Afghanistans die weltweit niedrigste Lebenserwartung, und Millionen Kinder - von Afrika über Südamerika bis nach Osten - sehen sich ihres Rechts auf Leben und ein würdevolles Leben beraubt.","Children in Afghanistan currently have the lowest life expectancy in the world. Like millions of other children - in Africa, South America and the Middle and Far East - they are deprived of the right to life and the right to a dignified life."
Die Entscheidung 2000/115/EG wird wie folgt geändert:,Decision 2000/115/EC is amended as follows:
Ich muß die Rechtschreibung noch mal prüfen.,"""Furry fist""."
*Eine Gruppe darf aus maximal 30 Teilnehmern bestehen.,* Groups will be of a maximum of 30 persons.
- Verbesserung der Knochendichte,- improvement of the bone density
Anzeige Nr.184522 an einen Freund senden,Send ad no.523158 to a friend
Bemannt das Tor!,Man the gate!
"Wer hätte gedacht, dass Sie doch Geschmack haben.","But if you like me, you should just tell me."
Pass doch auf.,Pay attention.
Er mochte sie. Außer einen.,He liked them all but one.
"Ich wollte sichergehen, dass du ihr nichts tust.",I came to make sure you didn't hurt her.
Beschrieben wurde es erstmals von dem englischen Astronomen Francis Baily im Jahre 1836.,The name is in honor of Francis Baily who first provided an exact explanation of the phenomenon in 1836.
Wallis und Futuna (0),Wallis and Futuna (0)
"April 1956 in Biloxi, Mississippi als ""Walter Eric Anthony Roberts"") ist ein US-amerikanischer Schauspieler.","Eric Anthony Roberts (born April 18, 1956) is an American actor."
Da ist es.,There it is.
- Warum macht es nicht einer von euch?,Why aren't one of you doing this?
Es ist irgendwie weg.,Somehow it's gone away
Der beste spieler des Projekttages.,"Kid, you're this fair's MVP!"
Was werden Sie jetzt machen?,What are you going to do now?
"- Das stimmt, Mr. Botwin.","That's right, Mr. Botwin."
"Die überraschende technische Wirkung, auf der die Patentierbarkeit des Gegenstands des Anspruchs 8 beruht, tritt nämlich nicht nur bei den für KB und EK angegebenen Höchstwerten auf, was aus den Beispielen 1 bis 14 der Anmeldung deutlich hervorgeht.","The surprising technical effect which supports the patentability of the subject- matter of claim 8 does not occur only at the maximum figures of the specified (KB) and (EK) values, as the Examples 1 to 14 set forth in the application clearly show."
Folgende Seite wird von Ihnen empfohlen: http://www1.dalalu.fr/de/57......3-aluminium-dachrinnen.html,You recommend the following page : http://www1.dalalu.fr/en/57......alu.fr/en/129-glossary.html
"Im 19. Jahrhundert , besitztdas Dorf ein Textilwerk und eine Brauerei . Später, beschränkt sich die industrielle Produktion auf die Herstellung von Batterien. Im ersten Weltkrieg wird Breitenbach stark beschädigt.","In the 19th century, the village has a textile manufacture and a brewery. Later on, the main activity becomes the production of batteries."
"Er steht für das Prinzip der Pulsierung, der zentripetalen und zentrifugalen Bewegung des Atems und des Lebens. Saraswathi auf dem Schwan zeigt, dass das Bewusstsein über die Aktivität der Schöpfung herrscht.","It stands for the principle of pulsation, the centripetal and centrifugal movement of respiration and of life. Saraswathi on the swan shows that consciousness presides over the activity of creation."
"Das ist besonders nützlich, wenn du auf einen neu gekauften Mac alle Apps laden willst, die du schon hast.",This is especially convenient when you buy a new Mac and want to load it with apps you already own.
"Donny, wer ist das?","Darling, who are you talking to?"
"Da in der Umgebung ihr niemand half, kam sie zu uns.",Nobody had helped her in her surroundings that’s how she came to the Pethome.
Sie wurden mit höchsten Ehren in den Archäologiezirkel aufgenommen.,"You were initiated into the Circle of Archaeology with the highest of honors. Yes, Minister."
"Frank hätte gelacht und gesagt, ich fiel auf den ältesten Trick der Welt herein. Lenke das Opfer mit Essen und Trinken ab und führe dabei die Befragung fort.","Frank would have laughed and said I fell for the oldest trick in the book ply the subject with food and drink, but all the while continuing the interrogation."
"Der heutige Tag steht ganz im Zeichen der Archäologie und der Maya. Morgens besuchen wir die Hauptstätte, die eigentlichen Ruinen. Am Nachmittag werden wir uns speziell mit den Sepulturas, der Wohn- und Begräbnisstätte der wohlhabenden Mayas von Copán, beschäftigen.","Today we visit the archeological park of Copan. In the afternoon we take a deeper look at the ""Sepulturas"", a residential and burial site of the Mayan nobles."
- Dafür sollte man ihn loben.,- He is to be congratulated.
Frei 31/03/2013,Available 29/03/2015
"== Leben ==Seine Eltern waren der österreichische General August von Sachsen-Coburg und Gotha (1818–1881) und Clémentine von Orléans (1817–1907), Tochter des französischen Königs Ludwig Philipp.","The son of Prince August of Saxe-Coburg and his wife Clémentine of Orléans, daughter of king Louis Philippe I of the French, Ferdinand was a grandnephew of Ernest I, Duke of Saxe-Coburg-Gotha and of Leopold I, first king of the Belgians."
Klar liegt es an euch.,It is you.
Yeah! Die Beatles sind zurück! Auf insgesamt fünf Etagen können die Besucher von Beatlemania Hamburg eine Zeitreise in die Welt 60er Jahre und der Beatles unternehmen. Elf verschie... 01:00 -,In the center of Hamburg
"Die einzige Möglichkeit, mit dir länger zusammen zu sein, wäre ein Doppelbett im Krankenhaus.",And why not? The only possibility of our being together longer... is in a double bed in the hospital!
Bitte.,Please.
Dies ist mein Leben und du ruinierst es.,"This is my life, and you're ruining it!"
"Epeios baute ein hölzernes Pferd, Menelaos, Odysseus versteckten sich drin...","Epeius built a wooden horse, then inside hid Menelaus, Ulysses..."
"Carolus-Duran wählte Beckwith und John Singer Sargent aus, damit diese ihm bei der Ausführung eines Wandgemäldes für das Palais du Luxembourg helfen sollten.",In Paris he took drawing courses with Adolphe Yvon and studied painting under Carolus Duran who in 1877 selected Beckwith and John Singer Sargent to help him with a mural for the Palais du Luxembourg.
Du spielst es falsch.,You're playing it wrong.
"Tabelle A4: BIP und seine Verwendungsbestandteile, in Mio­Euro, in konstanten Preisen 1995","Table A.4: GDP and its components from the expenditure side, Mío euros, constant prices 1995"
Tarife & SNCF-Karte für Kinder unter 12 Jahren,SNCF fares & railcard for children under 12
Zeitraum,Period
"arnebab auf twitter - Fr, 05/11/2012 - 16:04","Fr, 12/16/2011 - 10:20"
Wir waren spazieren und haben geredet... und... der Rest ist Geschichte.,We went for a walk and talked and... the rest is history.
"Schicke diese Mail weiter an alle auf deiner Mailingliste, klicke die Website www.TheColorOrange.net an und melde dich selbst zur Mailingliste an, damit du laufend über das Projekt auf dem neuesten Stand gehalten wirst.",- Pass on this e-mail to everybody on your mailing list. Go to the website www.TheColorOrange.net and sign up to the mailing list in order for you to get continuous updates about the initiative.
"Boris, ist an dieser Akquisition mehr dran als du behauptest?","Boris, is there more to this acquisition than you're letting on?"
"Fertigerzeugnisse für die landwirtschaftliche, gewerbliche oder industrielle Verwendung","Finished goods for agricultural, commercial or industrial use"
"Da ich auch darauf stehe, in kleinen Gruppen zusammenzuarbeiten, trage ich einer solchen Gruppe meine Idee vor, höre mir an, was die anderen dazu zu sagen haben, und entwickle dann die Choreographie. Oder wir sammeln Musikstücke, jede schlägt zwei bis drei Nummern vor, überlegen uns, wie wir das unter einen Hut bekommen, und dann packe ich das zusammen, mitunter bis zu vier Nummern in ein Drei-Minuten-Stück.","In small group work I really love collaboration so I may bring an exercise to the group, an idea, establish some rapport and then begin to choreograph together; or we do a music pot where we all turn in 2 or 3 songs for suggestion, brainstorm ideas and then I mix the music we choose together, sometimes as many as 4 songs in a 3 min piece."
Das sind Teile einer Bestellung.,Parts delivery.
"Mitgliedstaaten, die die Schwellen gemäß den vereinfachten Regeln von Artikel 10 Absatz 4 der Verordnung (EG) 638/2004 anwenden, stellen sicher, dass der Wert des Handels der Auskunftspflichtigen, die die Vereinfachung nutzen, höchstens 6 % ihres gesamten Handels beträgt.“",Member States applying the thresholds in accordance with the simplified rules of Article 10(4) of Regulation (EC) No 638/2004 shall ensure that the value of the trade of the parties benefiting from the simplification shall amount to a maximum of 6 % of the value of their total trade.’
Von der Küche nehmen Sie etwas Essen mit und vom Raum mit dem Kamin den Kompass sowie das Journal auf dem Tisch.,"Go back to the room with the blue door, and you'll notice that all of your friends are gathered by the door."
"Ich glaube, dass man diese Frage eindeutig mit Ja beantworten soll, auch wenn viele der Akteure gegenteiliger Auffassung sind.","It is my belief that the answer to this question should be an unambiguous'yes', even though many of the actors take the opposite view."
"Der HERR ist nahe bei denen, die zerbrochnes Herzens sind, und hilft denen, die ein zerschlagen Gemüt haben.","Jehovah is nigh to those that are of a broken heart, and saveth them that are of a contrite spirit."
"Tom, wir brauchen keine Leute die streng nach Vorschrift arbeiten.","Tom, we don't need people who follow the rules."
"- So was kann einen verfolgen, Rory.","- These things can follow you, Rory."
Vitamin B Mangel,Vitamin C
"(Es gibt auch) diejenigen, die sich eine (eigene) Moschee genommen haben aus Schadenslust und Unglauben, zum Anstiften von Zwietracht zwischen den Gläubigen und als Beobachtungsort für den, der zuvor gegen Gott und seinen Gesandten Krieg geführt hat.",And there are those who put up a mosque by way of mischief and infidelity - to disunite the Believers - and in preparation for one who warred against Allah and His Messenger aforetime.
- Hast du auf mich gewartet?,Waiting for me?
Sind diese Kameramänner echte Cops?,Are those cameramen real cops?
"In den meisten Fällen, wenn der Schleim oder Fremdkörper in der Nase entfernt, diese Reflexe stoppt.","In most cases, if the mucus or foreign matter in the nasal passages is removed, these reflexes will stop."
Stimmt was nicht mit dem Fisch?,Something wrong with the fish?
"Das schafft Abhängigkeiten und kann dazu führen, dass die Beschäftigten angesichts der Preise für hochtechnische Ausrüstungen auch noch ihrer Produktionsmittel beraubt werden.","This will engender dependence, and may serve to deprive workers of production resources given the price of hi-tech equipment."
"2Ki 21:26 Man begrub ihn in seinem Begräbnis in Uzzas Garten, und sein Sohn Josias ward an seiner Statt König.","26 He was buried in his tomb in the garden of Uzzah, and his son Josiah replaced him as king."
"Diese RHG werden unter Berücksichtigung der Informationen, die innerhalb von zwei Jahren nach Veröffentlichung der vorliegenden Verordnung zur Verfügung stehen, überprüft.",Those MRLs will be reviewed; the review will take into account the information available within 2 years from the publication of this Regulation.
"- das Fahrzeug fuer den Transfer Flughafen Trapani - Taormina haengt vor der Verfuegbarkeit ab, wenn Sie es buchen",- the kind of vehicle used during the transfer Trapani Airport - Terrasini depends on the availability at the moment you reserve it
Der Versand der Salzgitter Mannesmann Handel-Gruppe (SMHD-Gruppe) lag im Berichtszeitraum unter dem des Vorjahres.,The shipments of the Salzgitter Mannesmann Handel Group (SMHD Group) were lower year on year.
Ihr wisst das alle recht gut.,You all know that very well.
"Ehrlich, sitz.","Really, sit."
Er will Bewegdings machen!,"So, he will play movie ha?"
Eine geringfügige Änderung des Typs IA kann jederzeit vor Abschluss der in den Artikeln 8 und 14 festgelegten Verfahren durchgeführt werden.,A minor variation of type IA may be implemented any time before completion of the procedures laid down in Articles 8 and 14.
Vielleicht hat er es sich anders überlegt?,Perhaps he had second thoughts...
Nichteinhaltung des Mindestalters der Fahrer,Not respecting minimum ages for drivers
"Die in die Verzeichnisse aufgenommenen Organisationen werden anschließend aufgefordert, die Kandidatur von bis zu zwei Vertretern, die ihr Interesse an einer ständigen Mitgliedschaft im Ausschuss bekundet haben und den Anforderungen nach Artikel 1 des Anhangs genügen, zu unterstützen.","The organisations included in the rosters shall be subsequently called to endorse the candidature of up to two standing representatives for the Committee, among those having expressed such interest and fulfilling the requirements set out in Article 1 of the Annex."
Die Warteliste ist lang.,A lot of people are waiting for unlisted lines.
Ergänzend bietet die Kamera automatische,H.264 and MJPEG. Additionally the camera offers
"Ein Mann mit null Interesse an mir, hat mein Kleid verbrannt.","It worked out well enough. Caused a man with no interest in me to burn off my dress, so..."
1 2 Seite 1 von 2 (14 Objekte insgesamt),1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
"Entschied sich für den Freitod, weil er sich hier gefangen fühlte.","He chose to kill himself, Because he felt he was a prisoner here..."
>> Salzburg Hotels,>> Vienna hotels
Du wolltest der Herde nicht beitreten.,You didn't wanna join the herd.
"Seine definierte Dehnbarkeit erhält Gummiband übrigens durch die Kombination von Kettfäden aus elastischen Gummifäden mit unelastischem Polyestergarn. Zieht man an dem Band, so dehnen sich die Gummifäden bis zu dem Moment, in dem die Schussfäden aus Polyester gestrafft sind.","The specific expandability of this material is the result of the use of a combination of elastic threads in the warp and inelastic polyester yarn in the weft. When you pull on the band, the elastic threads expand up to the point where the polyester weft threads start express their resistance."
"Ich habe mit Ja für diese Entschließung gestimmt, die die Menschenrechtsverletzungen verurteilt, weil wir eine Missachtung derselben, weder als Menschen noch als Bürger tolerieren oder dulden können.","I voted in favour of the resolution condemning violations of human rights, because we must not tolerate or consent to their being broken, either as people or as citizens."
Sehr schön.,"- OK, great."
Ich bin live dabei!,I'm part of this!
"Sie mussten Arrangements treffen, um ihn zu sehen, oder?","You had to make arrangements to see him, didn't you?"
Sie sind selbst kein gutes Vorbild für Europa!,They themselves are hardly a role model for Europe.
"""Ich las Ihre Geschichte Englands und möchte ein Autogramm.""","""I read your History of England and I'd like your autograph."
Konzentrier dich.,Focus.
Das ist Eddys Rucksack.,It's Eddy's backpack.
Nur ihr drei?,"Just three of you, huh?"
Folgende Unternehmen haben das Produkt Beleuchtung für Wagen im Angebot.,The following companies offer the product lighting systems.
"Obwohl diese Vorstellung in der Mitteilung der Kommission dominiert, ist dies nicht unsere Vorstellung.","While that is also the dominant vision in the Commission communication, it is not our vision."
"Die Kommission war insbesondere der Auffassung, dass der Aufsichtsrat keine Berechtigung zum Treffen von Entscheidungen hatte, die für die Aktionäre finanzielle Folgen hatten, sofern die Aktionäre nicht die in dieser Hinsicht geforderten Aktionen unternahmen.",The Commission found in particular that the Supervisory Board had not been empowered to adopt decisions with financial repercussions for the shareholders in so far as the shareholders had not taken the requisite steps to that end.
"16.08.2015, 11:09 Uhr Deutsch English","17.08.2015, 08:55 Uhr Deutsch English"
"Dass dabei nicht einfach nur drei Tools für eine Saison, oder gar Bindeglieder zweier Platten entstanden sind, sei sein Verdienst. Seelenwund und -heil hebt er sich für sein im Laufe des Jahres bei Freude am Tanzen erscheinendes Debütalbum auf, welches den bisherigen Radius greed sogar noch erweitern wird.","This is not merely a contrivance for a season, or even the link between two releases, but rather his bread and butter. Injury and salvation is brought out for the to be released Freude am Tanzen debut album, which will inevitably expand the radius of Greed."
"Der vom neuen französischen Premier Manuel Valls angekündigte Sparkurs spaltet die regierenden Sozialisten, kommentiert die konservative Tageszeitung La Vanguardia und erinnert daran, welche Misere den spanischen Sozialisten widerfuhr, nachdem sie ihr Sparprogramm durchgedrückt hatten: »mehr","The austerity policy announced by the new French Prime Minister Manuel Valls is dividing the ruling Socialists, the conservative daily La Vanguardia comments, and points out how badly the Spanish Socialists fared after they pushed through their austerity programme: »more"
"In Ordnung, gern geschehen.","All right, well, you're welcome."
"Obwohl wir den Bedarf an innovativen Neuerungen zur Verbesserung der Situation anerkennen, müssen diese Innovationen und bewährten Verfahren eindeutig von Mitgliedstaaten und den Fischern selbst ausgehen.","Whilst I acknowledge the need for new innovation to improve the situation, most such innovation and best practice has clearly originated with Member States, and with the fishermen themselves."
Es kostet mich nichts.,It costs me nothing.
) j _BAR_ J—l von der auf ihr angegebenen Zollbehörde ausgestellt worden ist und daß die darin enthaltenen Angaben richtig sind.,1 1 was issued by the customs office indicated and that 1—1 the information contained therein is accurate.
Uns läuft die Zeit davon.,We're running out of time.
"Der Artikel wurde auf S. 8 fortgesetzt, wo man ihn geschmackvoll mit zwei Beiträgen über möglichen Antisemitismus in einem Torontoer Golfverein umgab. [...] Am 25. März wurde ein Islamisches Zentrum in der Gegend von Toronto mit Sprüchen besprüht und in Brand gesetzt.","The story continued on page 8, where it was tastefully paired with two articles on possible antisemitism at a Toronto golf club. [...] On March 25th, a [sic] Islamic centre in the Toronto area was spray-painted with slogans and set on fire. Tables were destroyed and chairs thrown outside."
"Ja, es ist etwas vorgefallen.","Yeah, well, something came up."
- Und der Sprit? - 1.200 Liter.,"- Three hundred gallons, Mr. Lindbergh."
0 Abgedeckte Bctricbsgrössenklasscn,Total size class covered
"Er hob den Kopf nicht in die Höhe, sondern richtete nur die Augen nach oben, ohne aber mit ihnen das Gesicht des Bruders zu erreichen.","He did not raise his head, but simply turned his eyes upwards, without their reaching his brother's face. ""Katya, go away!"" he added."
"Das ist alles, OK?",Take it easy.
Bist du glücklich?,Are you happy?
In: Z.-Q.,== Notes ==
- Für meine Mom.,It's for my mom.
"Swiss Helicopters transportiert jeden Tag Personen und Waren vom Tal in die Berge und Gletscher und wieder zurück. Um einen reibungslosen Service sicherzustellen, ist das Team auf zuverlässiges Werkzeug angewiesen.","Every day, Swiss Helicopters transports people and goods from the valley to the mountains and glaciers and back. To ensure a smooth service, the team depends on reliable tools."
"aus, um die Daten der CD/DVD zu der APT-Datenbank hinzuzufügen.","for each Debian Binary CD-ROM you have, to add the data about each CD to APT's database."
"Ich weiß, dass hier italienischen Generälen dasselbe vorgeschlagen wurde, Badoglianern, wie Sie sagen. Sie haben mit ihrem Leben für ihre Treue bezahlt.","I know that in this office there have the same propositions to various Italian generals, the Bradoglianos, as you call them, who have given their lives for their silence, and I will not betray them."
Ab 1.9.2015 wird auf unserer Website (http://asa2016.univie.ac.at) ein Link zur Hochlademaske bereitstehen.,Ab 1.9.2015 wird auf unserer Website (http://asa2016.univie.ac.at) ein Link zur Hochlademaske bereitstehen.
das nordwestafrikanische Königreich Mauretanien in die Provinzen Mauretania Tingitana und Mauretania Caesariensis auf.,This western part of Mauretania was to become the province called Mauretania Tingitana shortly afterwards.
"Warten sie etwa auf etwas anderes außer darauf, daß zu ihnen die Engel kommen oder daß die Bestimmung deines HERRN eintrifft?! Solcherart handelten diejenigen vor ihnen.",Await they aught but that the angels should come unto them or the command of thy Lord should come Likewise did those before them.
"Anzeichen von Stress, die bei Halluzinationen auftreten, fehlen.",You show no signs of stress that usually accompany hallucinations.
"Allgemein: Parkplatz, 24-Stunden-Rezeption, Nichtraucherzimmer, Aufzug, Express-Check-in/-out, Safe, Heizung, Gay Friendly, Parken vor Ort, Privatparkplatz","General: Parking, 24-hour front desk, Non-smoking rooms, Lift/elevator, Express check-in/check-out, Safety deposit box, Heating, Gay friendly, On-site parking, Private parking"
Ein Wundertreffer.,It's a wonder-strike.
Die Erde ist noch ganz weich.,The earth's still soft.
